t_in,t_out,dir,vol,p_in,p_out,pl,exit,dist
2021-01-04 12:25:00,2021-01-04 12:49:00,buy,0.01,1930.59,1932.39,1.72,-,1.8
2021-01-04 14:53:00,2021-01-04 15:15:00,buy,0.01,1931.55,1933.88,2.25,-,2.33
2021-01-04 17:17:00,2021-01-04 17:26:00,buy,0.01,1931.49,1935.02,3.4499999999999997,-,3.53
2021-01-04 19:23:00,2021-01-04 19:31:00,buy,0.01,1934.52,1936.4,1.7999999999999998,-,1.88
2021-01-05 14:51:00,2021-01-05 15:03:00,buy,0.01,1946.13,1949.1,2.89,-,2.97
2021-01-06 06:01:00,2021-01-06 06:26:00,buy,0.01,1942.75,1945.36,2.53,-,2.61
2021-01-06 21:05:00,2021-01-07 04:24:00,sell,0.01,1911.32,1915.44,-3.17,-,4.12
2021-01-07 09:15:00,2021-01-07 09:42:00,sell,0.01,1924.41,1922.81,1.52,-,1.6
2021-01-07 09:56:00,2021-01-07 10:07:00,sell,0.01,1921.06,1917.32,3.66,-,3.74
2021-01-07 22:10:00,2021-01-07 22:14:00,sell,0.01,1916.62,1914.93,1.6099999999999999,-,1.69
2021-01-08 12:20:00,2021-01-08 12:43:00,sell,0.01,1892.76,1890.76,1.92,-,2.0
2021-01-08 22:52:00,2021-01-11 01:54:00,sell,0.01,1847.81,1844.98,3.09,-,2.83
2021-01-11 07:10:00,2021-01-11 08:32:39,sell,0.01,1833.68,1848.74,-15.139999999999999,sl,15.05
2021-01-11 09:15:00,2021-01-11 09:33:00,sell,0.01,1846.92,1845.28,1.5599999999999998,-,1.64
2021-01-11 09:56:00,2021-01-11 14:36:00,sell,0.01,1846.49,1844.47,1.94,-,2.02
2021-01-11 18:31:00,2021-01-11 18:38:00,sell,0.01,1847.34,1845.39,1.8699999999999999,-,1.95
2021-01-11 19:14:00,2021-01-11 20:50:00,sell,0.01,1848.4,1846.38,1.94,-,2.02
2021-01-12 08:02:00,2021-01-12 08:18:00,sell,0.01,1857.5,1855.85,1.5699999999999998,-,1.65
2021-01-14 03:32:00,2021-01-14 04:03:00,sell,0.01,1850.89,1849.21,1.5999999999999999,-,1.68
2021-01-20 12:30:00,2021-01-20 12:47:00,buy,0.01,1852.51,1854.76,2.17,-,2.25
2021-01-21 02:30:00,2021-01-21 04:55:00,buy,0.01,1869.78,1871.61,1.75,-,1.83
2021-01-21 09:45:00,2021-01-21 10:15:00,buy,0.01,1868.74,1870.5,1.68,-,1.76
2021-01-21 12:45:00,2021-01-21 13:34:00,buy,0.01,1870.38,1872.12,1.66,-,1.74
2021-01-21 16:00:00,2021-01-21 16:11:00,buy,0.01,1860.96,1863.11,2.07,-,2.15
2021-01-27 08:45:00,2021-01-27 10:22:00,sell,0.01,1849.34,1847.45,1.8099999999999998,-,1.89
2021-01-27 19:00:00,2021-01-27 21:36:00,sell,0.01,1845.26,1842.28,2.9,-,2.98
2021-02-03 03:32:00,2021-02-03 08:04:00,sell,0.01,1840.13,1837.99,2.06,-,2.14
2021-02-03 15:45:00,2021-02-03 16:48:00,sell,0.01,1836.95,1834.39,2.48,-,2.56
2021-02-04 22:15:00,2021-02-04 23:17:01,sell,0.01,1795.06,1793.31,1.67,-,1.75
2021-02-05 04:18:00,2021-02-05 04:40:00,sell,0.01,1796.53,1794.7,1.75,-,1.83
2021-02-05 11:15:00,2021-02-05 11:24:00,sell,0.01,1806.07,1804.41,1.5799999999999998,-,1.66
2021-02-05 11:56:00,2021-02-05 13:16:00,sell,0.01,1807.52,1805.42,2.02,-,2.1
2021-02-08 21:15:00,2021-02-08 21:38:00,buy,0.01,1830.84,1832.67,1.75,-,1.83
2021-02-08 23:07:00,2021-02-09 02:20:00,buy,0.01,1830.99,1832.79,0.9299999999999999,-,1.8
2021-02-09 07:40:00,2021-02-09 09:07:00,buy,0.01,1838.68,1841.48,2.7199999999999998,-,2.8
2021-02-09 12:50:00,2021-02-09 15:47:00,buy,0.01,1843.41,1847.1,3.61,-,3.69
2021-02-10 15:03:00,2021-02-10 15:15:00,buy,0.01,1841.15,1844.26,3.03,-,3.11
2021-02-12 19:15:00,2021-02-12 19:51:00,sell,0.01,1823.62,1821.23,2.31,-,2.39
2021-02-16 17:27:00,2021-02-16 18:21:00,sell,0.01,1808.81,1806.87,1.8599999999999999,-,1.94
2021-02-18 03:15:00,2021-02-18 03:26:00,sell,0.01,1782.6,1780.87,1.65,-,1.73
2021-02-18 05:17:00,2021-02-18 05:31:00,sell,0.01,1785.19,1783.24,1.8699999999999999,-,1.95
2021-02-18 12:15:00,2021-02-18 14:19:00,sell,0.01,1783.09,1780.73,2.28,-,2.36
2021-02-19 08:45:00,2021-02-19 08:55:00,sell,0.01,1772.7,1770.94,1.68,-,1.76
2021-02-19 09:26:00,2021-02-19 09:35:00,sell,0.01,1771.43,1769.81,1.54,-,1.62
2021-02-22 14:02:00,2021-02-22 14:07:00,buy,0.01,1795.02,1796.75,1.65,-,1.73
2021-02-22 19:45:00,2021-02-22 20:07:00,buy,0.01,1808.0,1809.89,1.8099999999999998,-,1.89
2021-02-22 21:21:00,2021-02-22 22:52:00,buy,0.01,1807.89,1809.61,1.64,-,1.72
2021-02-23 07:38:00,2021-02-23 08:03:00,buy,0.01,1811.44,1813.53,2.01,-,2.09
2021-02-23 10:07:00,2021-02-23 10:50:00,buy,0.01,1808.72,1811.11,2.31,-,2.39
2021-02-23 12:04:00,2021-02-23 12:16:00,buy,0.01,1804.37,1806.54,2.09,-,2.17
2021-02-26 21:45:00,2021-02-26 22:01:00,sell,0.01,1730.57,1727.56,2.9299999999999997,-,3.01
2021-03-01 02:00:00,2021-03-01 02:59:00,sell,0.01,1739.08,1737.39,1.6099999999999999,-,1.69
2021-03-01 04:32:00,2021-03-01 11:25:00,sell,0.01,1746.78,1748.68,-1.98,-,1.9
2021-03-02 09:33:00,2021-03-02 09:47:00,sell,0.01,1719.43,1717.42,1.9299999999999997,-,2.01
2021-03-02 10:14:00,2021-03-02 10:20:00,sell,0.01,1719.68,1716.67,2.9299999999999997,-,3.01
2021-03-02 13:34:00,2021-03-02 14:01:00,sell,0.01,1729.32,1727.51,1.73,-,1.81
2021-03-05 09:30:00,2021-03-05 09:54:00,sell,0.01,1699.57,1697.79,1.7,-,1.78
2021-03-08 12:46:00,2021-03-08 13:25:00,sell,0.01,1693.05,1690.96,2.01,-,2.09
2021-03-08 19:55:00,2021-03-09 03:36:00,sell,0.01,1681.57,1680.46,1.37,-,1.11
2021-03-09 05:01:00,2021-03-09 10:59:19,sell,0.01,1687.02,1702.05,-15.109999999999998,sl,15.01
2021-03-09 12:41:00,2021-03-09 13:13:00,buy,0.01,1701.78,1704.83,2.9699999999999998,-,3.05
2021-03-09 17:36:00,2021-03-09 18:14:00,buy,0.01,1715.08,1716.72,1.5599999999999998,-,1.64
2021-03-10 01:32:00,2021-03-10 02:39:00,buy,0.01,1714.99,1717.25,2.1799999999999997,-,2.26
2021-03-10 04:24:00,2021-03-10 06:49:00,buy,0.01,1712.2,1713.98,1.7,-,1.78
2021-03-10 13:54:00,2021-03-10 14:20:00,buy,0.01,1711.17,1712.91,1.66,-,1.74
2021-03-11 02:45:00,2021-03-11 04:04:00,buy,0.01,1725.2,1727.24,1.96,-,2.04
2021-03-11 12:00:00,2021-03-11 12:27:00,buy,0.01,1733.74,1735.68,1.8599999999999999,-,1.94
2021-03-11 14:30:00,2021-03-11 14:48:00,buy,0.01,1730.71,1733.63,2.84,-,2.92
2021-03-11 16:30:00,2021-03-11 16:35:00,buy,0.01,1723.35,1725.85,2.42,-,2.5
2021-03-15 02:45:00,2021-03-15 03:22:00,buy,0.01,1725.54,1727.17,1.5499999999999998,-,1.63
2021-03-15 08:37:00,2021-03-15 09:56:00,buy,0.01,1723.54,1725.3,1.68,-,1.76
2021-03-18 19:30:00,2021-03-18 19:53:00,sell,0.01,1734.37,1732.49,1.7999999999999998,-,1.88
2021-03-22 15:15:00,2021-03-22 15:29:00,sell,0.01,1734.09,1732.16,1.8499999999999999,-,1.93
2021-03-29 19:15:00,2021-03-29 21:01:00,sell,0.01,1713.61,1711.69,1.8399999999999999,-,1.92
2021-03-31 10:15:00,2021-03-31 10:35:00,sell,0.01,1687.24,1685.11,2.05,-,2.13
2021-03-31 10:56:00,2021-03-31 11:08:00,sell,0.01,1685.32,1683.56,1.68,-,1.76
2021-03-31 13:50:00,2021-03-31 14:43:00,sell,0.01,1687.79,1684.85,2.86,-,2.94
2021-04-01 03:30:00,2021-04-01 04:33:00,buy,0.01,1706.73,1708.35,1.54,-,1.62
2021-04-01 07:20:00,2021-04-01 08:40:00,buy,0.01,1711.96,1714.05,2.01,-,2.09
2021-04-01 14:02:00,2021-04-01 14:59:00,buy,0.01,1713.67,1717.1,3.35,-,3.43
2021-04-01 19:16:00,2021-04-01 20:27:00,buy,0.01,1725.83,1727.88,1.9699999999999998,-,2.05
2021-04-05 03:15:00,2021-04-05 04:23:00,buy,0.01,1727.25,1729.16,1.8299999999999998,-,1.91
2021-04-05 05:45:00,2021-04-05 10:08:00,buy,0.01,1725.16,1727.45,2.21,-,2.29
2021-04-06 19:45:00,2021-04-07 09:33:00,buy,0.01,1743.01,1740.74,-3.14,-,2.27
2021-04-08 21:00:00,2021-04-08 23:22:00,buy,0.01,1754.97,1756.78,1.73,-,1.81
2021-04-09 03:45:00,2021-04-09 04:26:00,buy,0.01,1754.65,1756.71,1.98,-,2.06
2021-04-09 06:02:00,2021-04-09 15:45:57,buy,0.01,1752.17,1737.18,-15.069999999999999,sl,14.97
2021-04-13 01:24:00,2021-04-13 03:05:00,sell,0.01,1733.04,1731.03,1.9299999999999997,-,2.01
2021-04-13 05:35:00,2021-04-13 06:43:00,sell,0.01,1734.7,1732.97,1.65,-,1.73
2021-04-14 07:15:00,2021-04-14 09:14:00,buy,0.01,1744.02,1746.15,2.05,-,2.13
2021-04-15 20:15:00,2021-04-16 08:44:00,buy,0.01,1766.13,1765.71,-1.29,-,0.42
2021-04-16 09:45:00,2021-04-16 10:12:00,buy,0.01,1763.04,1765.02,1.9,-,1.98
2021-04-16 19:45:00,2021-04-16 19:58:00,buy,0.01,1777.48,1779.22,1.66,-,1.74
2021-04-19 14:15:00,2021-04-19 16:15:54,buy,0.01,1786.6,1771.68,-14.999999999999998,sl,14.92
2021-04-19 16:27:00,2021-04-19 16:33:00,buy,0.01,1770.66,1773.19,2.4499999999999997,-,2.53
2021-04-22 07:30:00,2021-04-22 07:50:00,buy,0.01,1790.58,1792.2,1.54,-,1.62
2021-04-22 12:34:00,2021-04-22 13:17:00,buy,0.01,1787.36,1789.7,2.26,-,2.34
2021-05-03 20:28:00,2021-05-03 21:53:00,buy,0.01,1791.76,1793.43,1.5899999999999999,-,1.67
2021-05-04 04:30:00,2021-05-04 05:18:00,buy,0.01,1789.44,1791.23,1.71,-,1.79
2021-05-04 06:34:00,2021-05-04 15:42:00,buy,0.01,1789.31,1787.35,-2.04,-,1.96
2021-05-06 20:23:00,2021-05-07 05:42:00,buy,0.01,1814.72,1816.41,0.8199999999999998,-,1.69
2021-05-07 07:50:00,2021-05-07 11:29:00,buy,0.01,1819.45,1821.16,1.63,-,1.71
2021-05-07 14:16:00,2021-05-07 15:32:26,buy,0.01,1820.13,1833.17,12.96,tp,13.04
2021-05-07 15:33:00,2021-05-07 15:43:00,buy,0.01,1833.74,1837.55,3.73,-,3.81
2021-05-10 19:49:00,2021-05-11 13:16:00,buy,0.01,1837.84,1839.62,0.9099999999999999,-,1.78
2021-05-13 04:56:00,2021-05-13 05:49:00,sell,0.01,1821.34,1819.04,2.2199999999999998,-,2.3
2021-05-13 06:00:00,2021-05-13 06:21:00,sell,0.01,1819.93,1817.94,1.91,-,1.99
2021-05-13 16:45:00,2021-05-14 03:29:00,sell,0.01,1819.27,1824.17,-4.640000000000001,-,4.9
2021-05-17 10:25:00,2021-05-17 16:32:00,buy,0.01,1852.58,1851.36,-1.3,-,1.22
2021-05-18 14:18:00,2021-05-18 14:50:00,buy,0.01,1867.38,1869.76,2.3,-,2.38
2021-05-18 17:01:00,2021-05-18 17:56:00,buy,0.01,1865.55,1867.83,2.1999999999999997,-,2.28
2021-05-19 19:45:00,2021-05-19 20:03:00,buy,0.01,1880.81,1882.46,1.5699999999999998,-,1.65
2021-05-21 03:05:00,2021-05-21 07:25:00,buy,0.01,1875.21,1875.88,0.59,-,0.67
2021-05-26 09:00:00,2021-05-26 09:35:00,buy,0.01,1903.33,1904.96,1.5499999999999998,-,1.63
2021-05-26 14:35:00,2021-05-26 15:06:00,buy,0.01,1905.33,1907.13,1.72,-,1.8
2021-05-26 17:01:00,2021-05-26 17:06:00,buy,0.01,1900.24,1902.43,2.11,-,2.19
2021-05-26 18:01:00,2021-05-26 18:11:00,buy,0.01,1901.07,1903.18,2.03,-,2.11
2021-05-31 13:31:00,2021-05-31 14:56:00,buy,0.01,1903.27,1905.19,1.8399999999999999,-,1.92
2021-06-03 21:30:00,2021-06-03 22:49:00,sell,0.01,1873.27,1871.35,1.8399999999999999,-,1.92
2021-06-04 10:37:00,2021-06-04 11:05:00,sell,0.01,1872.83,1871.04,1.71,-,1.79
2021-06-04 19:22:00,2021-06-07 14:31:00,buy,0.01,1891.17,1887.95,-4.090000000000001,-,3.22
2021-06-08 05:45:00,2021-06-08 14:43:00,buy,0.01,1897.5,1897.34,-0.24000000000000002,-,0.16
2021-06-11 11:45:00,2021-06-11 17:00:05,buy,0.01,1896.01,1881.0,-15.089999999999998,sl,15.01
2021-06-14 17:35:00,2021-06-14 18:03:00,sell,0.01,1866.63,1864.98,1.5699999999999998,-,1.65
2021-06-14 18:16:00,2021-06-15 04:16:00,sell,0.01,1864.36,1862.32,2.3,-,2.04
2021-06-16 08:15:00,2021-06-16 13:47:00,sell,0.01,1858.97,1857.02,1.8699999999999999,-,1.95
2021-06-17 06:15:00,2021-06-17 07:07:00,sell,0.01,1823.25,1821.3,1.8699999999999999,-,1.95
2021-06-17 21:00:00,2021-06-17 22:40:00,sell,0.01,1778.67,1776.49,2.1,-,2.18
2021-06-18 03:30:00,2021-06-18 11:01:27,sell,0.01,1778.88,1793.75,-14.949999999999998,sl,14.83
2021-06-18 11:05:00,2021-06-18 15:24:00,sell,0.01,1792.16,1785.22,6.86,-,6.94
2021-06-21 03:31:00,2021-06-21 08:17:00,sell,0.01,1771.25,1770.68,0.48999999999999994,-,0.57
2021-06-21 12:30:00,2021-06-21 12:35:00,sell,0.01,1784.59,1782.67,1.8399999999999999,-,1.92
2021-06-21 13:11:00,2021-06-21 15:08:00,sell,0.01,1783.5,1780.6,2.82,-,2.9
2021-06-29 09:45:00,2021-06-29 11:02:00,sell,0.01,1774.71,1771.93,2.6999999999999997,-,2.78
2021-06-29 19:01:00,2021-06-29 22:28:00,sell,0.01,1762.44,1760.56,1.7999999999999998,-,1.88
2021-06-30 06:15:00,2021-06-30 06:50:00,sell,0.01,1762.73,1761.08,1.5699999999999998,-,1.65
2021-07-01 11:00:00,2021-07-01 14:17:00,buy,0.01,1776.98,1779.48,2.42,-,2.5
2021-07-05 02:15:00,2021-07-05 04:21:00,buy,0.01,1786.56,1788.81,2.17,-,2.25
2021-07-05 15:00:00,2021-07-05 15:08:00,buy,0.01,1789.73,1792.25,2.44,-,2.52
2021-07-06 18:18:00,2021-07-07 04:22:00,buy,0.01,1802.75,1798.68,-4.94,-,4.07
2021-07-14 17:04:00,2021-07-14 23:01:00,buy,0.01,1825.01,1827.25,2.16,-,2.24
2021-07-15 04:02:00,2021-07-15 04:11:00,buy,0.01,1824.74,1827.03,2.21,-,2.29
2021-07-15 13:30:00,2021-07-15 13:40:00,buy,0.01,1824.17,1826.04,1.79,-,1.87
2021-07-15 14:20:00,2021-07-15 14:25:00,buy,0.01,1823.72,1825.87,2.07,-,2.15
2021-07-15 16:03:00,2021-07-15 16:29:00,buy,0.01,1824.34,1826.1,1.68,-,1.76
2021-07-15 18:15:00,2021-07-15 18:27:00,buy,0.01,1823.33,1825.08,1.67,-,1.75
2021-07-16 08:46:00,2021-07-16 15:48:00,buy,0.01,1827.09,1825.13,-2.04,-,1.96
2021-07-19 03:21:00,2021-07-19 04:45:00,sell,0.01,1815.55,1813.32,2.15,-,2.23
