t_in,t_out,dir,vol,p_in,p_out,pl,exit,dist
2021-01-06 12:00:00,2021-01-06 14:43:37,buy,0.01,1957.81,1935.94,-21.95,sl,21.85
2021-01-06 18:00:00,2021-01-08 10:00:14,sell,0.01,1909.77,1894.86,16.200000000000003,tp,14.82
2021-01-08 11:00:00,2021-01-08 16:42:39,sell,0.01,1888.92,1873.85,14.990000000000002,tp,15.07
2021-01-08 17:00:00,2021-01-08 17:24:00,sell,0.01,1864.88,1850.55,14.250000000000002,-,14.33
2021-01-12 09:00:00,2021-01-12 16:06:39,buy,0.01,1860.19,1838.17,-22.099999999999998,sl,21.99
2021-01-20 04:00:00,2021-01-20 16:32:16,buy,0.01,1846.5,1861.51,14.930000000000001,tp,15.01
2021-01-20 17:00:00,2021-01-20 17:46:40,buy,0.01,1855.53,1870.3,14.690000000000001,tp,14.77
2021-01-20 18:11:00,2021-01-21 17:45:00,buy,0.01,1864.5,1866.77,-0.18999999999999992,-,2.27
2021-01-22 13:00:00,2021-01-27 16:35:40,sell,0.01,1851.86,1837.13,15.670000000000002,tp,14.69
2021-01-28 16:00:00,2021-01-29 15:41:39,buy,0.01,1857.07,1871.81,13.870000000000001,tp,14.74
2021-01-29 15:42:00,2021-01-29 20:12:17,buy,0.01,1871.64,1849.41,-22.31,sl,22.21
2021-02-02 16:00:00,2021-02-04 04:57:00,sell,0.01,1837.99,1823.05,16.23,-,14.94
2021-02-04 05:00:00,2021-02-04 15:57:23,sell,0.01,1822.88,1807.7,15.100000000000001,tp,15.18
2021-02-04 16:00:00,2021-02-04 16:13:41,sell,0.01,1808.39,1793.4,14.910000000000002,tp,14.94
2021-02-04 17:11:00,2021-02-08 01:01:27,sell,0.01,1793.56,1815.49,-21.33,sl,21.92
2021-02-09 05:00:00,2021-02-10 19:49:00,buy,0.01,1841.61,1842.02,-0.4600000000000001,-,0.41
2021-02-11 21:00:00,2021-02-12 15:37:41,sell,0.01,1825.51,1810.6,15.170000000000002,tp,14.89
2021-02-16 06:00:00,2021-02-16 15:00:00,buy,0.01,1826.35,1807.38,-19.049999999999997,-,18.97
2021-02-16 15:01:00,2021-02-16 16:22:31,sell,0.01,1805.65,1790.83,14.740000000000002,tp,14.8
2021-02-16 16:23:00,2021-02-16 17:23:25,sell,0.01,1790.42,1812.04,-21.7,sl,21.61
2021-02-16 19:00:00,2021-02-17 15:21:31,sell,0.01,1796.77,1782.0,15.030000000000001,tp,14.74
2021-02-24 17:00:00,2021-02-25 17:46:00,sell,0.01,1785.55,1770.27,16.23,-,15.28
2021-03-09 16:00:00,2021-03-11 04:06:26,buy,0.01,1713.46,1728.36,11.650000000000002,tp,14.83
2021-03-11 05:00:00,2021-03-12 09:20:20,buy,0.01,1730.25,1708.35,-22.769999999999996,sl,21.89
2021-03-12 11:00:00,2021-03-12 23:56:00,sell,0.01,1706.49,1729.15,-22.74,sl,22.03
2021-03-17 07:00:00,2021-03-17 22:04:38,buy,0.01,1735.96,1750.99,14.950000000000001,tp,15.01
2021-03-17 22:05:00,2021-03-18 14:37:24,buy,0.01,1750.92,1728.56,-24.82,sl,22.36
2021-03-30 15:00:00,2021-03-31 14:30:00,sell,0.01,1688.3,1686.76,1.8,-,1.54
2021-03-31 20:00:00,2021-04-01 16:51:34,buy,0.01,1712.02,1726.88,12.4,tp,14.86
2021-04-06 05:00:00,2021-04-07 08:04:00,buy,0.01,1734.4,1738.74,3.4699999999999998,-,4.34
2021-04-08 11:00:00,2021-04-09 10:15:00,buy,0.01,1745.24,1746.43,0.3199999999999999,-,1.19
2021-04-13 17:00:00,2021-04-15 17:14:00,buy,0.01,1748.05,1763.09,11.79,-,15.04
2021-04-15 17:15:00,2021-04-16 13:56:30,buy,0.01,1763.36,1778.21,13.98,tp,14.81
2021-04-16 14:00:00,2021-04-21 16:49:00,buy,0.01,1778.23,1792.29,11.610000000000001,-,14.06
2021-04-21 16:50:00,2021-04-23 17:31:03,buy,0.01,1792.16,1770.52,-24.89,sl,21.62
2021-04-29 05:00:00,2021-04-29 16:19:38,buy,0.01,1788.96,1766.94,-22.099999999999998,sl,22.0
2021-05-06 10:00:00,2021-05-06 16:42:00,buy,0.01,1793.65,1807.79,14.060000000000002,-,14.14
2021-05-06 17:00:00,2021-05-07 15:30:41,buy,0.01,1812.82,1828.22,14.530000000000001,tp,15.38
2021-05-07 16:00:00,2021-05-11 16:00:00,buy,0.01,1838.74,1826.64,-13.759999999999998,-,12.1
2021-05-14 10:00:00,2021-05-17 04:20:31,buy,0.01,1834.88,1849.82,14.07,tp,14.92
2021-05-19 14:00:00,2021-05-19 16:39:20,sell,0.01,1857.54,1879.47,-22.009999999999998,sl,21.9
2021-05-21 16:00:00,2021-05-26 04:01:35,buy,0.01,1887.15,1901.96,12.360000000000001,tp,14.81
2021-05-26 05:00:00,2021-06-01 14:15:00,buy,0.01,1902.97,1905.84,-1.96,-,2.87
2021-06-03 16:00:00,2021-06-03 16:37:30,sell,0.01,1882.26,1868.12,14.060000000000002,tp,14.13
2021-06-03 17:11:00,2021-06-04 04:56:41,sell,0.01,1871.07,1856.09,15.240000000000002,tp,14.98
2021-06-10 11:00:00,2021-06-10 23:44:31,sell,0.01,1877.53,1899.63,-22.18,sl,22.07
2021-06-17 03:18:00,2021-06-17 13:34:39,sell,0.01,1814.58,1799.63,14.870000000000001,tp,14.94
2021-06-23 17:00:00,2021-06-24 07:34:36,buy,0.01,1794.5,1772.76,-24.199999999999996,sl,21.74
2021-06-24 15:00:00,2021-06-29 14:16:39,buy,0.01,1787.62,1765.64,-24.43,sl,21.93
2021-06-29 16:00:00,2021-07-01 06:00:00,sell,0.01,1754.84,1774.48,-18.35,-,19.64
2021-07-01 10:00:00,2021-07-02 15:36:03,buy,0.01,1777.93,1792.7,13.9,tp,14.77
2021-07-02 15:37:00,2021-07-06 09:00:43,buy,0.01,1790.53,1805.92,13.73,tp,15.39
2021-07-06 09:01:00,2021-07-12 17:00:00,buy,0.01,1806.77,1792.42,-19.18,-,14.35
2021-07-14 15:00:00,2021-07-15 09:10:00,buy,0.01,1816.97,1832.01,12.58,-,15.04
2021-07-16 18:00:00,2021-07-19 15:01:05,sell,0.01,1812.72,1797.95,15.030000000000001,tp,14.77
2021-07-28 08:00:00,2021-07-29 11:43:18,buy,0.01,1804.99,1819.99,12.540000000000001,tp,14.99
2021-07-29 12:00:00,2021-07-30 15:49:00,buy,0.01,1821.66,1824.07,1.54,-,2.41
2021-08-04 15:00:00,2021-08-05 16:40:41,buy,0.01,1817.92,1803.81,-16.57,sl,14.07
2021-08-06 17:00:00,2021-08-09 01:48:00,sell,0.01,1763.67,1749.26,14.670000000000002,-,14.41
2021-08-11 17:00:00,2021-08-12 09:32:27,buy,0.01,1740.07,1754.91,12.38,tp,14.84
2021-08-13 14:00:00,2021-08-13 17:16:00,buy,0.01,1759.89,1774.26,14.290000000000001,-,14.37
2021-08-13 17:17:00,2021-08-16 17:40:39,buy,0.01,1773.31,1788.5,14.32,tp,15.18
2021-08-17 12:00:00,2021-08-25 01:30:00,buy,0.01,1794.66,1802.47,1.3999999999999995,-,7.81
2021-08-25 18:00:00,2021-08-27 06:00:00,sell,0.01,1784.43,1797.3,-11.579999999999998,-,12.87
2021-08-27 06:01:00,2021-08-27 18:57:12,buy,0.01,1797.45,1812.36,14.830000000000002,tp,14.88
2021-08-27 18:58:00,2021-09-01 05:02:00,buy,0.01,1813.01,1813.02,-2.4400000000000004,-,0.01
2021-09-03 16:00:00,2021-09-06 14:30:00,buy,0.01,1823.59,1824.12,-0.34,-,0.53
2021-09-07 13:00:00,2021-09-07 17:27:00,sell,0.01,1810.49,1796.38,14.030000000000001,-,14.11
2021-09-07 18:00:00,2021-09-09 12:45:00,sell,0.01,1796.78,1794.86,3.21,-,1.92
2021-09-14 16:00:00,2021-09-15 17:01:00,buy,0.01,1797.22,1797.36,-0.7300000000000001,-,0.14
