n132_eagleowl_or_b2_v131.htm — EagleOwl_v1 · XAUUSD.p · 7666 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      577  1.51   2.55     112   5.14  152   71 |   188/60    178/61    247/56    -36/49 
Gold Reaper 1|1824.53      7       34  2.30   4.92      27   1.25    2    5 |     0/0     -27/2      62/5       0/0  
GoldDaily3|1786.53         2       34   inf  17.19       0 859.50    0    1 |     0/0      34/2       0/0       0/0  
Gold Reaper 7|2051.94      3       34   inf  11.33       0 283.25    0    3 |     0/0       0/0      34/3       0/0  
Gold Reaper 7|1910.72      5       34 244.21   6.73       0  98.97    2    3 |     0/0      34/5       0/0       0/0  
GoldDaily3|2657.18         1       33   inf  33.46       0 836.50    0    1 |     0/0       0/0       0/0      33/1  
Gold Reaper 8|1954.24      4       33   inf   8.33       0 208.13    0    4 |     0/0       0/0      33/4       0/0  
GoldDaily1|1999.46         1       33   inf  33.18       0 829.50    1    0 |     0/0       0/0      33/1       0/0  
Gold Reaper 8|1809.55      3       33   inf  10.85       0 271.33    1    2 |    33/3       0/0       0/0       0/0  
Gold Reaper 4|2613.45      2       32   inf  16.11       0 805.75    2    0 |     0/0       0/0       0/0      32/2  
Gold Reaper 7|2529.23      1       32   inf  31.91       0 797.75    0    1 |     0/0       0/0       0/0      32/1  
Gold Reaper 8|2018.10      6       32 16.14   5.29       3  12.17    0    4 |     0/0       0/0      32/6       0/0  
Gold Reaper 7|2070.66      3       32   inf  10.56       0 263.92    0    3 |     0/0       0/0      32/3       0/0  
goldtrade_H|1820.20        6       32 18.29   5.25       2  14.00    5    0 |    10/4      21/2       0/0       0/0  
Gold Reaper 7|1891.48      3       31   inf  10.49       0 262.33    0    3 |     0/0      31/3       0/0       0/0  
Gold Reaper 7|1840.66      5       31   inf   6.28       0 156.95    3    2 |     0/0      31/5       0/0       0/0  
Gold Reaper 1|2450.11      3       31  9.03  10.36       4   7.51    0    2 |     0/0       0/0       0/0      31/3  
GoldDaily1|2670.20         1       31   inf  30.82       0 770.50    0    1 |     0/0       0/0       0/0      31/1  
Gold Reaper 8|2406.26      3       31   inf  10.25       0 256.17    0    3 |     0/0       0/0       0/0      31/3  
Gold Reaper 8|1723.25      9       31  6.66   3.39       6   4.90    0    5 |     0/0      31/9       0/0       0/0  
GoldbotOne_8|2613.45       1       30   inf  30.05       0 751.25    0    1 |     0/0       0/0       0/0      30/1  
Gold Reaper 8|1855.72      4       30   inf   7.46       0 186.44    2    2 |    30/4       0/0       0/0       0/0  
Gold Reaper 4|1719.23      1       30   inf  29.70       0 742.50    1    0 |    30/1       0/0       0/0       0/0  
Gold Reaper 7|2670.57      2       29   inf  14.73       0 368.25    0    2 |     0/0       0/0       0/0      29/2  
Gold Reaper 7|1914.10      3       29   inf   9.74       0 243.58    0    3 |     0/0      29/3       0/0       0/0  
GoldDaily3|2758.45         1       29   inf  29.19       0 729.75    0    1 |     0/0       0/0       0/0      29/1  
GoldDaily3|2332.07         1       29   inf  29.16       0 729.00    0    1 |     0/0       0/0       0/0      29/1  
Gold Reaper 8|2319.86      3       29   inf   9.72       0 242.92    0    3 |     0/0       0/0       0/0      29/3  
Gold Reaper 8|2633.15      3       29   inf   9.69       0 242.25    0    3 |     0/0       0/0       0/0      29/3  
Gold Reaper 7|2354.77      5       29 11.67   5.77       3   9.18    0    3 |     0/0       0/0       0/0      29/5  
Gold Reaper 7|2018.10      2       29   inf  14.40       0 360.12    0    2 |     0/0       0/0      29/2       0/0  
Gold Reaper 8|2332.07      1       29   inf  28.69       0 717.25    1    0 |     0/0       0/0       0/0      29/1  
GoldbotOne_8|2666.27       1       28   inf  28.41       0 710.25    0    1 |     0/0       0/0       0/0      28/1  
Gold Reaper 1|1974.44      2       28   inf  14.18       0 354.50    0    2 |     0/0      28/2       0/0       0/0  
Gold Reaper 8|2451.50      4       28 10.94   7.08       3   8.84    0    3 |     0/0       0/0       0/0      28/4  
Gold Reaper 8|1918.60      5       28  7.98   5.65       5   6.27    0    4 |     0/0       0/0      28/5       0/0  
GoldDaily1|2007.54         1       28   inf  28.25       0 706.25    1    0 |     0/0       0/0      28/1       0/0  
Gold Reaper 7|2364.98      5       28  3.46   5.57      12   2.34    0    0 |     0/0       0/0       0/0      28/5  
GoldDaily3|2529.04         1       28   inf  27.58       0 689.50    0    1 |     0/0       0/0       0/0      28/1  
Gold Reaper 1|1906.68      2       27   inf  13.71       0 342.63    0    2 |    27/2       0/0       0/0       0/0  
GoldDaily3|2222.93         1       27   inf  27.40       0 685.00    0    1 |     0/0       0/0       0/0      27/1  
GoldDaily3|2368.75         1       27   inf  27.35       0 683.75    0    1 |     0/0       0/0       0/0      27/1  
Gold Reaper 1|1850.39      2       27   inf  13.62       0 340.50    0    2 |     0/0      27/2       0/0       0/0  
Gold Reaper 8|1940.01      3       27   inf   8.94       0 223.58    0    3 |     0/0       0/0      27/3       0/0  
GoldDaily3|2009.92         1       27   inf  26.63       0 665.75    0    1 |     0/0       0/0      27/1       0/0  
Gold Reaper 8|1720.36      5       27 12.55   5.32       3   9.72    0    4 |     0/0      27/5       0/0       0/0  
Gold Reaper 1|1951.95      3       27 20.89   8.87       2  17.17    0    2 |     0/0       0/0      27/3       0/0  
GoldDaily1|2004.11         1       27   inf  26.52       0 663.00    1    0 |     0/0       0/0      27/1       0/0  
Gold Reaper 1|2392.92      4       26   inf   6.59       0 219.58    3    1 |     0/0       0/0       0/0      26/4  
GoldDaily3|1791.60         2       26   inf  13.13       0 656.75    1    1 |    26/2       0/0       0/0       0/0  
GoldbotOne_8|2324.27       1       26   inf  26.12       0 653.00    0    1 |     0/0       0/0       0/0      26/1  
GoldDaily1|2332.07         1       26   inf  26.08       0 652.00    1    0 |     0/0       0/0       0/0      26/1  
Gold Reaper 8|2051.94      3       26   inf   8.68       0 217.00    0    3 |     0/0       0/0      26/3       0/0  
Gold Reaper 7|2036.63      3       26   inf   8.65       0 216.33    0    3 |     0/0       0/0       0/0      26/3  
Gold Reaper 8|1674.98      6       26 14.21   4.32       2  11.58    2    4 |     0/0      26/6       0/0       0/0  
GoldDaily2|2222.93         1       26   inf  25.90       0 647.50    1    0 |     0/0       0/0       0/0      26/1  
Gold Reaper 3|2001.86      2       26 21.52  12.84       1  18.09    0    1 |     0/0       0/0       0/0      26/2  
Gold Reaper 7|2529.07      1       26   inf  25.55       0 638.75    0    1 |     0/0       0/0       0/0      26/1  
Gold Reaper 7|2624.75      2       25   inf  12.72       0 318.12    2    0 |     0/0       0/0       0/0      25/2  
GoldDaily3|2314.73         1       25   inf  25.43       0 635.75    0    1 |     0/0       0/0       0/0      25/1  
GoldDaily1|1831.27         1       25   inf  25.40       0 635.00    0    1 |    25/1       0/0       0/0       0/0  
Gold Reaper 1|1758.67      2       25   inf  12.61       0 315.25    0    2 |    25/2       0/0       0/0       0/0  
Gold Reaper 8|1969.85      3       25   inf   8.40       0 209.92    0    3 |     0/0       0/0      25/3       0/0  
GoldDaily3|1900.99         1       25   inf  25.13       0 628.25    0    1 |     0/0       0/0      25/1       0/0  
GoldDaily2|1884.84         1       25   inf  25.06       0 626.50    1    0 |     0/0       0/0      25/1       0/0  
GoldDaily3|1932.42         1       25   inf  24.93       0 623.25    0    1 |     0/0       0/0      25/1       0/0  
GoldbotOne_8|2392.92       1       25   inf  24.88       0 622.00    0    1 |     0/0       0/0       0/0      25/1  
Gold Reaper 1|1834.00      2       25   inf  12.39       0 309.88    0    2 |    25/2       0/0       0/0       0/0  
GoldDaily1|1854.85         1       25   inf  24.75       0 618.75    0    1 |    25/1       0/0       0/0       0/0  
Gold Reaper 7|1913.91      4       25   inf   6.16       0  87.96    4    0 |     0/0       0/0      25/4       0/0  
GoldDaily3|2003.33         1       25   inf  24.57       0 614.25    0    1 |     0/0       0/0      25/1       0/0  
Gold Reaper 8|1911.40      3       24   inf   8.16       0 204.00    0    3 |     0/0       0/0      24/3       0/0  
Gold Reaper 8|2352.57      2       24   inf  12.22       0 203.75    1    1 |     0/0       0/0       0/0      24/2  
GoldDaily3|1949.76         1       24   inf  24.39       0 609.75    0    1 |     0/0      24/1       0/0       0/0  
Gold Reaper 7|2058.21      2       24   inf  12.14       0 303.50    0    2 |     0/0       0/0       0/0      24/2  
DaytradePro_XAUUSD|178     1       24   inf  24.14       0 603.50    0    1 |     0/0      24/1       0/0       0/0  
Gold Reaper 7|1844.66      1       24   inf  24.13       0 603.25    1    0 |    24/1       0/0       0/0       0/0  
GoldbotOne_8|2314.73       1       24   inf  24.06       0 601.50    0    1 |     0/0       0/0       0/0      24/1  
Gold Reaper 1|1884.84      3       24  9.07   8.02       3   7.40    0    2 |     0/0       0/0      24/3       0/0  
GoldbotOne_8|2195.21       1       24   inf  23.86       0 596.50    0    1 |     0/0       0/0       0/0      24/1  
GoldDaily3|1974.44         1       24   inf  23.74       0 593.50    0    1 |     0/0      24/1       0/0       0/0  
Gold Reaper 7|2000.90      3       24  2.97   7.90      12   1.92    0    2 |     0/0       0/0      24/3       0/0  
GoldDaily3|2012.31         1       24   inf  23.59       0 589.75    0    1 |     0/0       0/0      24/1       0/0  
DaytradePro_XAUUSD|203     2       24 16.08  11.76       2  13.59    1    1 |     0/0       0/0      24/2       0/0  
GoldDaily1|2222.93         1       23   inf  23.46       0 586.50    1    0 |     0/0       0/0       0/0      23/1  
Gold Reaper 7|1915.30      1       23   inf  23.33       0 583.25    0    1 |     0/0       0/0      23/1       0/0  
Gold Reaper 7|2666.84      4       23  6.44   5.83       5   5.00    0    2 |     0/0       0/0       0/0      23/4  
goldtrade_H|2613.45        1       23   inf  23.28       0 582.00    1    0 |     0/0       0/0       0/0      23/1  
GoldbotOne_8|2222.93       1       23   inf  23.25       0 581.25    0    1 |     0/0       0/0       0/0      23/1  
GoldDaily3|1780.04         1       23   inf  23.24       0 581.00    0    1 |    23/1       0/0       0/0       0/0  
Gold Reaper 1|1877.15      1       23   inf  23.19       0 579.75    0    1 |     0/0      23/1       0/0       0/0  
Gold Reaper 1|1833.35      2       23   inf  11.59       0 289.75    0    2 |     0/0       0/0      23/2       0/0  
Gold Reaper 3|1833.35      3       23   inf   7.66       0 191.58    3    0 |     0/0       0/0      23/3       0/0  
Gold Reaper 8|2070.66      5       23  8.21   4.57       4   6.31    0    3 |     0/0       0/0      23/5       0/0  
GoldDaily1|1947.44         1       23   inf  22.83       0 570.75    0    1 |     0/0       0/0      23/1       0/0  
Gold Reaper 8|1914.10      4       23 19.51   5.71       2  14.54    0    3 |     0/0      23/4       0/0       0/0  
GoldDaily3|1719.23         1       23   inf  22.82       0 570.50    0    1 |    23/1       0/0       0/0       0/0  
GoldbotOne_8|1858.22       1       23   inf  22.77       0 569.25    0    1 |     0/0       0/0      23/1       0/0  
Gold Reaper 7|1975.28      5       23  5.26   4.55       6   3.90    2    2 |     0/0       0/0      23/5       0/0  
Gold Reaper 8|1833.35      2       23   inf  11.32       0 282.88    0    2 |     0/0       0/0      23/2       0/0  
DaytradePro_XAUUSD|194     2       23   inf  11.32       0 282.88    0    2 |     0/0       0/0      23/2       0/0  
Gold Reaper 8|1790.05      3       23   inf   7.54       0 282.75    0    3 |    23/3       0/0       0/0       0/0  
Gold Reaper 4|2051.94      1       23   inf  22.62       0 565.50    0    1 |     0/0       0/0      23/1       0/0  
Gold Reaper 8|2613.45      2       23   inf  11.27       0 281.75    0    2 |     0/0       0/0       0/0      23/2  
GoldDaily1|2392.92         1       22   inf  22.47       0 561.75    1    0 |     0/0       0/0       0/0      22/1  
Gold Reaper 8|1767.98      3       22   inf   7.48       0 187.00    0    3 |     0/0      22/3       0/0       0/0  
GoldDaily3|1999.46         1       22   inf  22.34       0 558.50    0    1 |     0/0       0/0      22/1       0/0  
GoldDaily3|1691.43         1       22   inf  22.27       0 556.75    0    1 |     0/0      22/1       0/0       0/0  
Gold Reaper 8|2058.21      1       22   inf  22.01       0 550.25    0    1 |     0/0       0/0       0/0      22/1  
GoldDaily1|1760.64         1       22   inf  21.88       0 547.00    1    0 |    22/1       0/0       0/0       0/0  
GoldDaily3|1758.67         1       22   inf  21.65       0 541.25    0    1 |    22/1       0/0       0/0       0/0  
Gold Reaper 7|1855.72      2       22   inf  10.81       0 270.13    0    2 |    22/2       0/0       0/0       0/0  
Gold Reaper 8|1691.43      3       22   inf   7.20       0 179.92    0    3 |     0/0      22/3       0/0       0/0  
Gold Reaper 4|1915.30      2       22   inf  10.77       0 538.25    2    0 |     0/0       0/0      22/2       0/0  
Gold Reaper 8|1829.58      3       22   inf   7.17       0 179.17    3    0 |    22/3       0/0       0/0       0/0  
Gold Reaper 8|2020.10      1       21   inf  21.45       0 536.25    0    1 |     0/0       0/0      21/1       0/0  
DaytradePro_XAUUSD|196     2       21   inf  10.67       0 266.62    0    2 |     0/0       0/0      21/2       0/0  
DaytradePro_XAUUSD|182     2       21   inf  10.63       0 265.75    0    2 |     0/0      21/2       0/0       0/0  
GoldDaily3|1915.04         1       21   inf  21.11       0 527.75    0    1 |     0/0      21/1       0/0       0/0  
GoldbotOne_8|1932.42       1       21   inf  21.04       0 526.00    0    1 |     0/0       0/0      21/1       0/0  
Gold Reaper 8|2368.75      2       21   inf  10.49       0 262.38    1    0 |     0/0       0/0       0/0      21/2  
GoldDaily3|1854.85         1       21   inf  20.93       0 523.25    0    1 |    21/1       0/0       0/0       0/0  
Gold Reaper 8|1843.65      3       21   inf   6.98       0 174.42    0    3 |    21/3       0/0       0/0       0/0  
Gold Reaper 7|2007.54      1       21   inf  20.91       0 522.75    1    0 |     0/0       0/0      21/1       0/0  
GoldbotOne_8|1900.99       1       21   inf  20.85       0 521.25    0    1 |     0/0       0/0      21/1       0/0  
GoldDaily1|2014.91         1       21   inf  20.77       0 519.25    1    0 |     0/0       0/0       0/0      21/1  
DaytradePro_XAUUSD|183     2       21   inf  10.37       0 259.13    0    2 |     0/0       0/0      21/2       0/0  
goldtrade_H|1947.44        2       21   inf  10.36       0 259.00    2    0 |     0/0       0/0      21/2       0/0  
Gold Reaper 7|1809.55      2       21   inf  10.31       0 257.75    0    2 |    21/2       0/0       0/0       0/0  
Gold Reaper 8|1688.00      1       21   inf  20.53       0 513.25    0    1 |     0/0      21/1       0/0       0/0  
