n121_eagleowl_or_reverif_v118_v130.htm — EagleOwl_v1 · XAUUSD.p · 8652 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      509  1.47   2.25     123   4.13  155   65 |   215/60    146/61    196/56    -48/49 
GoldbotOne_8|2666.27       1       33   inf  33.46       0 836.50    0    1 |     0/0       0/0       0/0      33/1  
Gold Reaper 6|2039.92      5       33   inf   6.65       0 166.30    0    5 |     0/0       0/0      33/5       0/0  
Gold Reaper 5|2406.26      4       33   inf   8.26       0 206.56    0    4 |     0/0       0/0       0/0      33/4  
Gold Reaper 6|1963.74      5       33 19.64   6.56       2  15.04    0    4 |     0/0       0/0      33/5       0/0  
GoldbotOne_8|1792.66       1       33   inf  32.59       0 814.75    0    0 |    33/1       0/0       0/0       0/0  
Gold Reaper 6|1860.33      5       32   inf   6.50       0 162.45    0    5 |     0/0       0/0      32/5       0/0  
GoldDaily2|1952.93         1       32   inf  32.43       0 810.75    1    0 |     0/0       0/0      32/1       0/0  
Gold Reaper 5|1934.42      5       32   inf   6.48       0 161.90    0    5 |     0/0       0/0      32/5       0/0  
Gold Reaper 4|2613.45      2       32   inf  16.11       0 805.75    2    0 |     0/0       0/0       0/0      32/2  
Gold Reaper 6|1954.24      5       32   inf   6.44       0 161.10    0    5 |     0/0       0/0      32/5       0/0  
Gold Reaper 6|1951.95      5       32   inf   6.42       0 160.45    0    5 |     0/0       0/0      32/5       0/0  
GoldDaily3|1805.80         1       32   inf  31.89       0 797.25    0    1 |    32/1       0/0       0/0       0/0  
Gold Reaper 7|1975.28      5       32   inf   6.38       0 159.40    2    3 |     0/0       0/0      32/5       0/0  
Gold Reaper 5|2018.10      6       32 16.62   5.31       3  12.49    0    5 |     0/0       0/0      32/6       0/0  
Gold Reaper 7|2529.07      1       32   inf  31.74       0 793.50    0    1 |     0/0       0/0       0/0      32/1  
Gold Reaper 6|1925.94      5       32   inf   6.33       0 158.20    0    5 |     0/0       0/0      32/5       0/0  
Gold Reaper 6|2406.26      5       31 24.66   6.26       2  17.99    0    4 |     0/0       0/0       0/0      31/5  
Gold Reaper 6|1891.48      5       31   inf   6.21       0 155.25    0    5 |     0/0      31/5       0/0       0/0  
Gold Reaper 5|1820.20      5       31   inf   6.20       0 155.05    0    5 |    31/5       0/0       0/0       0/0  
GoldDaily1|2670.20         1       31   inf  30.82       0 770.50    0    1 |     0/0       0/0       0/0      31/1  
