n132_eagleowl_or_b2_v144.htm — EagleOwl_v1 · XAUUSD.p · 6522 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     300      946  1.63   3.15     136   6.95  196  101 |   190/74    288/78    322/82    146/66 
Gold Reaper 7|1910.16      2       28   inf  13.92       0 348.00    2    0 |     0/0       0/0      28/2       0/0  
GoldDaily3|2529.23         1       28   inf  27.60       0 690.00    0    1 |     0/0       0/0       0/0      28/1  
GoldDaily3|2222.93         1       27   inf  27.40       0 685.00    0    1 |     0/0       0/0       0/0      27/1  
Gold Reaper 1|1850.39      2       27   inf  13.62       0 340.50    0    2 |     0/0      27/2       0/0       0/0  
GoldDaily3|2009.92         1       27   inf  26.63       0 665.75    0    1 |     0/0       0/0      27/1       0/0  
Gold Reaper 7|2007.54      1       27   inf  26.52       0 663.00    1    0 |     0/0       0/0      27/1       0/0  
GoldDaily3|2080.01         1       26   inf  26.42       0 660.50    0    1 |     0/0       0/0      26/1       0/0  
GoldbotOne_8|2324.27       1       26   inf  26.12       0 653.00    0    1 |     0/0       0/0       0/0      26/1  
GoldDaily1|2332.07         1       26   inf  26.08       0 652.00    1    0 |     0/0       0/0       0/0      26/1  
GoldDaily3|2341.65         1       26   inf  26.05       0 651.25    1    0 |     0/0       0/0       0/0      26/1  
Gold Reaper 8|2222.93      1       26   inf  26.02       0 650.50    1    0 |     0/0       0/0       0/0      26/1  
GoldDaily2|2222.93         1       26   inf  25.90       0 647.50    1    0 |     0/0       0/0       0/0      26/1  
GoldDaily3|2065.45         1       26   inf  25.82       0 645.50    0    1 |     0/0       0/0       0/0      26/1  
GoldbotOne_8|2450.11       1       26   inf  25.68       0 642.00    0    1 |     0/0       0/0       0/0      26/1  
DaytradePro_XAUUSD|200     2       26 21.18  12.83       1  17.83    0    1 |     0/0       0/0       0/0      26/2  
GoldDaily1|2529.23         1       26   inf  25.55       0 638.75    0    1 |     0/0       0/0       0/0      26/1  
DaytradePro_XAUUSD|183     2       25   inf  12.74       0 318.50    0    2 |     0/0       0/0      25/2       0/0  
GoldDaily3|1913.91         1       25   inf  25.23       0 630.75    0    1 |     0/0       0/0      25/1       0/0  
Gold Reaper 1|1758.67      2       25   inf  12.61       0 315.25    0    2 |    25/2       0/0       0/0       0/0  
GoldDaily2|1884.84         1       25   inf  25.06       0 626.50    1    0 |     0/0       0/0      25/1       0/0  
Gold Reaper 7|2012.31      1       25   inf  24.99       0 624.75    0    1 |     0/0       0/0      25/1       0/0  
GoldDaily3|1882.30         1       25   inf  24.98       0 624.50    0    1 |    25/1       0/0       0/0       0/0  
GoldDaily3|1932.42         1       25   inf  24.93       0 623.25    0    1 |     0/0       0/0      25/1       0/0  
GoldbotOne_8|2392.92       1       25   inf  24.88       0 622.00    0    1 |     0/0       0/0       0/0      25/1  
GoldDaily1|1854.85         1       25   inf  24.75       0 618.75    0    1 |    25/1       0/0       0/0       0/0  
GoldDaily3|2003.33         1       25   inf  24.57       0 614.25    0    1 |     0/0       0/0      25/1       0/0  
GoldDaily3|1916.59         1       25   inf  24.53       0 613.25    0    1 |     0/0      25/1       0/0       0/0  
Gold Reaper 8|2352.57      1       25   inf  24.53       0 613.25    0    1 |     0/0       0/0       0/0      25/1  
Gold Reaper 8|1911.40      3       24   inf   8.16       0 204.00    0    3 |     0/0       0/0      24/3       0/0  
GoldDaily3|1959.76         1       24   inf  24.41       0 610.25    0    1 |     0/0       0/0      24/1       0/0  
Gold Reaper 7|1844.66      1       24   inf  24.13       0 603.25    1    0 |    24/1       0/0       0/0       0/0  
Gold Reaper 7|1720.36      4       24 11.41   5.96       3   9.03    0    3 |     0/0      24/4       0/0       0/0  
GoldDaily3|1974.44         1       24   inf  23.74       0 593.50    0    1 |     0/0      24/1       0/0       0/0  
Gold Reaper 7|1963.74      2       24   inf  11.87       0 296.75    0    2 |     0/0       0/0      24/2       0/0  
GoldDaily3|2195.21         1       24   inf  23.69       0 592.25    0    1 |     0/0       0/0       0/0      24/1  
GoldDaily3|1780.30         1       24   inf  23.52       0 588.00    0    1 |     0/0      24/1       0/0       0/0  
Gold Reaper 8|2039.92      2       23   inf  11.73       0 293.25    1    1 |     0/0       0/0      23/2       0/0  
GoldDaily1|2222.93         1       23   inf  23.46       0 586.50    1    0 |     0/0       0/0       0/0      23/1  
