n132_eagleowl_or_b2_v104_v130.htm — EagleOwl_v1 · XAUUSD.p · 8136 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      522  1.47   2.31     106   4.92  142   71 |   160/60    156/61    249/56    -43/49 
Gold Reaper 7|1891.48      3       31   inf  10.49       0 262.33    0    3 |     0/0      31/3       0/0       0/0  
Gold Reaper 7|1840.66      5       31   inf   6.26       0 156.50    3    2 |     0/0      31/5       0/0       0/0  
goldtrade_H|1820.20        6       31 18.14   5.21       2  13.88    5    0 |    10/4      21/2       0/0       0/0  
Gold Reaper 1|2450.11      3       31  9.03  10.36       4   7.51    0    2 |     0/0       0/0       0/0      31/3  
Gold Reaper 8|2039.92      6       31 11.53   5.15       3   8.93    0    4 |     0/0       0/0      31/6       0/0  
GoldDaily1|2670.20         1       31   inf  30.68       0 767.00    0    1 |     0/0       0/0       0/0      31/1  
Gold Reaper 7|1845.53      4       30   inf   7.62       0 190.50    2    2 |    30/4       0/0       0/0       0/0  
GoldbotOne_8|2314.73       1       30   inf  30.20       0 755.00    1    0 |     0/0       0/0       0/0      30/1  
GoldbotOne_8|2613.45       1       30   inf  29.98       0 749.50    0    1 |     0/0       0/0       0/0      30/1  
GoldDaily1|1760.64         1       30   inf  29.51       0 737.75    1    0 |    30/1       0/0       0/0       0/0  
Gold Reaper 3|1820.20      6       29   inf   4.88       0 243.92    6    0 |    13/3      16/3       0/0       0/0  
Gold Reaper 7|1914.10      3       29   inf   9.74       0 243.58    0    3 |     0/0      29/3       0/0       0/0  
Gold Reaper 8|2319.86      3       29   inf   9.72       0 242.92    0    3 |     0/0       0/0       0/0      29/3  
GoldDaily3|2758.45         1       29   inf  29.15       0 728.75    0    1 |     0/0       0/0       0/0      29/1  
Gold Reaper 7|2332.07      1       29   inf  29.12       0 728.00    0    1 |     0/0       0/0       0/0      29/1  
Gold Reaper 7|2070.66      3       29   inf   9.69       0 242.17    0    3 |     0/0       0/0      29/3       0/0  
Gold Reaper 8|1954.24      6       29  8.05   4.80       5   6.33    0    4 |     0/0       0/0      29/6       0/0  
Gold Reaper 8|2332.07      1       29   inf  28.65       0 716.25    1    0 |     0/0       0/0       0/0      29/1  
Gold Reaper 4|2621.94      2       29   inf  14.32       0 220.31    2    0 |     0/0       0/0       0/0      29/2  
Gold Reaper 7|2018.10      2       29   inf  14.28       0 356.88    0    2 |     0/0       0/0      29/2       0/0  
Gold Reaper 7|2354.77      5       29 11.56   5.71       3   9.09    0    3 |     0/0       0/0       0/0      29/5  
Gold Reaper 8|1963.74      5       29 10.42   5.70       3   8.22    0    3 |     0/0       0/0      29/5       0/0  
GoldbotOne_8|2666.27       1       28   inf  28.37       0 709.25    0    1 |     0/0       0/0       0/0      28/1  
Gold Reaper 1|1974.44      2       28   inf  14.18       0 354.50    0    2 |     0/0      28/2       0/0       0/0  
Gold Reaper 8|1918.60      5       28  7.98   5.65       5   6.27    0    4 |     0/0       0/0      28/5       0/0  
Gold Reaper 7|1793.09      2       28   inf  14.11       0 352.75    0    2 |    28/2       0/0       0/0       0/0  
GoldDaily1|2007.54         1       28   inf  28.17       0 704.25    1    0 |     0/0       0/0      28/1       0/0  
Gold Reaper 1|1951.95      2       28   inf  14.05       0 702.50    0    2 |     0/0       0/0      28/2       0/0  
GoldDaily3|2529.04         1       28   inf  27.58       0 689.50    0    1 |     0/0       0/0       0/0      28/1  
Gold Reaper 7|1805.80      2       27 1382.00  13.73       0 274.60    0    2 |    27/2       0/0       0/0       0/0  
Gold Reaper 1|1906.68      2       27   inf  13.71       0 342.63    0    2 |    27/2       0/0       0/0       0/0  
GoldDaily3|2222.93         1       27   inf  27.36       0 684.00    0    1 |     0/0       0/0       0/0      27/1  
GoldDaily3|1999.46         1       27   inf  27.34       0 683.50    0    1 |     0/0       0/0      27/1       0/0  
goldtrade_D|2613.45        1       27   inf  27.23       0 680.75    0    1 |     0/0       0/0       0/0      27/1  
Gold Reaper 1|1850.39      2       27   inf  13.61       0 340.25    0    2 |     0/0      27/2       0/0       0/0  
GoldDaily3|2368.75         1       27   inf  27.21       0 680.25    0    1 |     0/0       0/0       0/0      27/1  
Gold Reaper 7|1760.64      4       27  4.02   6.75       9   2.89    2    2 |    27/4       0/0       0/0       0/0  
Gold Reaper 8|1720.36      5       27 12.55   5.32       3   9.72    0    4 |     0/0      27/5       0/0       0/0  
GoldDaily3|2009.92         1       27   inf  26.61       0 665.25    0    1 |     0/0       0/0      27/1       0/0  
GoldDaily1|2004.11         1       26   inf  26.44       0 661.00    1    0 |     0/0       0/0      26/1       0/0  
Gold Reaper 8|2016.66      8       26  4.51   3.28       8   3.16    1    4 |     0/0       0/0       0/0      26/8  
Gold Reaper 7|2670.57      2       26   inf  13.09       0 327.12    0    2 |     0/0       0/0       0/0      26/2  
GoldbotOne_8|2324.27       1       26   inf  26.12       0 653.00    0    1 |     0/0       0/0       0/0      26/1  
Gold Reaper 1|2392.92      4       26   inf   6.53       0 217.58    3    1 |     0/0       0/0       0/0      26/4  
GoldDaily1|2332.07         1       26   inf  26.04       0 651.00    1    0 |     0/0       0/0       0/0      26/1  
GoldDaily1|2222.93         1       26   inf  25.98       0 649.50    1    0 |     0/0       0/0       0/0      26/1  
GoldbotOne_8|2222.93       1       26   inf  25.86       0 646.50    1    0 |     0/0       0/0       0/0      26/1  
Gold Reaper 1|2009.77      2       26   inf  12.82       0 641.00    1    1 |     0/0       0/0      26/2       0/0  
Gold Reaper 7|2529.23      1       26   inf  25.51       0 637.75    0    1 |     0/0       0/0       0/0      26/1  
Gold Reaper 8|1855.72      4       25 14.22   6.36       2  11.21    1    3 |    25/4       0/0       0/0       0/0  
Gold Reaper 7|2624.75      2       25   inf  12.71       0 317.62    2    0 |     0/0       0/0       0/0      25/2  
Gold Reaper 1|1758.67      2       25   inf  12.61       0 315.25    0    2 |    25/2       0/0       0/0       0/0  
Gold Reaper 8|1969.85      3       25   inf   8.39       0 209.75    0    3 |     0/0       0/0      25/3       0/0  
GoldDaily3|1900.99         1       25   inf  25.11       0 627.75    0    1 |     0/0       0/0      25/1       0/0  
GoldDaily3|1932.42         1       25   inf  24.93       0 623.25    0    1 |     0/0       0/0      25/1       0/0  
GoldbotOne_8|2392.92       1       25   inf  24.88       0 622.00    0    1 |     0/0       0/0       0/0      25/1  
GoldDaily1|1854.85         1       25   inf  24.79       0 619.75    0    1 |    25/1       0/0       0/0       0/0  
GoldDaily2|1884.84         1       25   inf  24.54       0 613.50    1    0 |     0/0       0/0      25/1       0/0  
GoldDaily3|2332.07         1       24   inf  24.49       0 612.25    0    1 |     0/0       0/0       0/0      24/1  
GoldDaily3|1949.76         1       24   inf  24.35       0 608.75    0    1 |     0/0      24/1       0/0       0/0  
DaytradePro_XAUUSD|178     1       24   inf  24.12       0 603.00    0    1 |     0/0      24/1       0/0       0/0  
Gold Reaper 1|1884.84      3       24  9.07   8.02       3   7.40    0    2 |     0/0       0/0      24/3       0/0  
DaytradePro_XAUUSD|222     3       24 22.28   8.01       1  17.41    1    2 |     0/0       0/0       0/0      24/3  
GoldDaily3|1974.44         1       24   inf  23.74       0 593.50    0    1 |     0/0      24/1       0/0       0/0  
GoldDaily3|2195.21         1       24   inf  23.69       0 592.25    0    1 |     0/0       0/0       0/0      24/1  
Gold Reaper 8|1793.68      6       24  4.11   3.94       8   2.87    0    1 |    24/6       0/0       0/0       0/0  
GoldDaily3|1754.31         1       24   inf  23.62       0 590.50    0    1 |     0/0      24/1       0/0       0/0  
GoldDaily3|2012.31         1       23   inf  23.47       0 586.75    0    1 |     0/0       0/0      23/1       0/0  
GoldDaily3|1780.04         1       23   inf  23.24       0 581.00    0    1 |    23/1       0/0       0/0       0/0  
GoldDaily3|1853.87         1       23   inf  23.15       0 578.75    0    1 |     0/0      23/1       0/0       0/0  
Gold Reaper 7|1915.30      1       23   inf  23.11       0 577.75    0    1 |     0/0       0/0      23/1       0/0  
Gold Reaper 1|1833.35      2       23   inf  11.52       0 288.00    0    2 |     0/0       0/0      23/2       0/0  
Gold Reaper 7|1825.04      5       23 10.49   4.59       3   8.02    2    1 |     0/0      23/5       0/0       0/0  
GoldDaily3|1719.23         1       23   inf  22.80       0 570.00    0    1 |    23/1       0/0       0/0       0/0  
GoldbotOne_8|1858.22       1       23   inf  22.73       0 568.25    0    1 |     0/0       0/0      23/1       0/0  
GoldDaily1|1947.44         1       23   inf  22.73       0 568.25    0    1 |     0/0       0/0      23/1       0/0  
Gold Reaper 7|2633.15      3       23 12.64   7.56       2  10.27    0    2 |     0/0       0/0       0/0      23/3  
DaytradePro_XAUUSD|194     2       23   inf  11.32       0 282.88    0    2 |     0/0       0/0      23/2       0/0  
goldtrade_H|2195.21        1       23   inf  22.63       0 565.75    1    0 |     0/0       0/0       0/0      23/1  
Gold Reaper 8|1790.05      3       23   inf   7.54       0 282.75    0    3 |    23/3       0/0       0/0       0/0  
Gold Reaper 8|1767.98      3       22   inf   7.48       0 187.00    0    3 |     0/0      22/3       0/0       0/0  
Gold Reaper 1|1845.53      4       22   inf   5.60       0 140.06    3    1 |    22/4       0/0       0/0       0/0  
GoldDaily1|2392.92         1       22   inf  22.39       0 559.75    1    0 |     0/0       0/0       0/0      22/1  
GoldDaily3|1691.43         1       22   inf  22.27       0 556.75    0    1 |     0/0      22/1       0/0       0/0  
GoldDaily3|2009.37         2       22  8.26  10.99       3   6.94    1    1 |     0/0       0/0      22/2       0/0  
Gold Reaper 1|1676.83      2       22  3.83  10.89       8   2.75    2    0 |    22/2       0/0       0/0       0/0  
Gold Reaper 7|1855.72      2       22   inf  10.81       0 270.13    0    2 |    22/2       0/0       0/0       0/0  
GoldDaily3|1758.67         1       22   inf  21.61       0 540.25    0    1 |    22/1       0/0       0/0       0/0  
Gold Reaper 8|1691.43      3       22   inf   7.20       0 179.92    0    3 |     0/0      22/3       0/0       0/0  
goldtrade_H|1947.44        2       22   inf  10.79       0 269.75    2    0 |     0/0       0/0      22/2       0/0  
Gold Reaper 8|2020.10      1       21   inf  21.43       0 535.75    0    1 |     0/0       0/0      21/1       0/0  
DaytradePro_XAUUSD|183     2       21   inf  10.69       0 267.12    1    1 |     0/0       0/0      21/2       0/0  
GoldDaily3|1805.80         1       21   inf  21.22       0 530.50    0    1 |    21/1       0/0       0/0       0/0  
GoldDaily3|1915.04         1       21   inf  21.16       0 529.00    0    1 |     0/0      21/1       0/0       0/0  
GoldbotOne_8|1932.42       1       21   inf  21.04       0 526.00    0    1 |     0/0       0/0      21/1       0/0  
Gold Reaper 8|1975.20      5       21 16.74   4.20       2  11.94    0    3 |     0/0       0/0      21/5       0/0  
GoldbotOne_8|1900.99       1       21   inf  20.85       0 521.25    0    1 |     0/0       0/0      21/1       0/0  
Gold Reaper 7|2007.54      1       21   inf  20.83       0 520.75    1    0 |     0/0       0/0      21/1       0/0  
