jeu,mois,net
XAGUSD H2 AGA09|26.472,2021-05,0.52
XAGUSD H2 AGA04|26.472,2021-05,0.57
XAGUSD H2 AGA06|26.472,2021-05,1.09
XAGUSD H2 AGA04|26.640,2021-05,0.57
XAGUSD H2 AGA09|26.640,2021-05,0.52
XAGUSD H2 AGA06|26.640,2021-05,0.52
XAGUSD H2 AGA09|27.112,2021-05,6.08
XAGUSD H2 AGA04|27.112,2021-05,6.33
XAGUSD H2 AGA06|27.112,2021-05,6.08
XAGUSD H2 AGA09|27.098,2021-05,3.66
XAGUSD H2 AGA04|27.690,2021-05,0.40
XAGUSD H2 AGA09|27.690,2021-05,0.05
XAGUSD H2 AGA06|27.690,2021-05,0.30
XAGUSD H2 AGA04|27.877,2021-05,50.46
XAGUSD H2 AGA09|27.877,2021-05,46.26
XAGUSD H2 AGA06|27.877,2021-05,63.24
XAGUSD H2 AGA09|27.366,2021-05,-2.73
XAGUSD H2 AGA04|27.366,2021-05,-2.88
XAGUSD H2 AGA06|27.366,2021-05,-2.73
XAGUSD H2 AGA09|28.068,2021-05,1.34
XAGUSD H2 AGA04|28.068,2021-05,1.34
XAGUSD H2 AGA06|28.068,2021-05,1.34
XAGUSD H2 AGA09|27.494,2021-05,1.34
XAGUSD H2 AGA04|27.494,2021-05,1.29
XAGUSD H2 AGA06|27.494,2021-05,0.67
XAGUSD H2 AGA04|27.354,2021-06,0.57
XAGUSD H2 AGA09|27.354,2021-06,0.37
XAGUSD H2 AGA06|27.354,2021-06,0.57
XAGUSD H2 AGA09|27.196,2021-06,1.34
XAGUSD H2 AGA04|27.196,2021-06,1.24
XAGUSD H2 AGA06|27.196,2021-06,1.34
XAGUSD H2 AGA09|27.976,2021-06,-6.93
XAGUSD H2 AGA04|27.976,2021-06,-13.05
XAGUSD H2 AGA06|27.976,2021-06,-7.03
XAGUSD H2 AGA09|27.999,2021-06,-1.04
XAGUSD H2 AGA04|27.999,2021-06,-0.52
XAGUSD H2 AGA06|27.999,2021-06,-1.04
XAGUSD H2 AGA09|28.232,2021-06,-0.93
XAGUSD H2 AGA04|27.428,2021-06,-46.52
XAGUSD H2 AGA09|27.428,2021-06,-56.01
XAGUSD H2 AGA06|27.428,2021-06,-29.55
XAGUSD H2 AGA04|27.031,2021-06,11.77
XAGUSD H2 AGA09|27.031,2021-06,11.62
XAGUSD H2 AGA06|27.031,2021-06,22.47
XAGUSD H2 AGA04|26.715,2021-06,0.47
XAGUSD H2 AGA09|25.770,2021-06,-7.07
XAGUSD H2 AGA09|26.292,2021-06,-37.67
XAGUSD H2 AGA04|26.292,2021-06,-28.27
XAGUSD H2 AGA06|26.292,2021-06,-48.92
XAGUSD H2 AGA09|25.787,2021-06,-20.94
XAGUSD H2 AGA04|25.787,2021-06,-5.84
XAGUSD H2 AGA06|25.787,2021-06,-21.54
XAGUSD H2 AGA09|25.549,2021-06,-21.61
XAGUSD H2 AGA04|25.549,2021-06,4.44
XAGUSD H2 AGA06|25.549,2021-06,3.14
XAGUSD H2 AGA09|26.347,2021-07,0.57
XAGUSD H2 AGA04|26.347,2021-07,0.57
XAGUSD H2 AGA06|26.347,2021-07,0.57
XAGUSD H2 AGA09|26.464,2021-07,-4.73
XAGUSD H2 AGA04|26.464,2021-07,-10.33
XAGUSD H2 AGA06|26.464,2021-07,-4.73
XAGUSD H2 AGA09|25.759,2021-07,43.91
XAGUSD H2 AGA04|25.759,2021-07,1.64
XAGUSD H2 AGA06|25.759,2021-07,25.20
XAGUSD H2 AGA04|25.521,2021-07,0.52
XAGUSD H2 AGA09|25.521,2021-07,0.27
XAGUSD H2 AGA06|25.521,2021-07,0.27
XAGUSD H2 AGA09|24.999,2021-07,64.01
XAGUSD H2 AGA04|24.999,2021-07,69.51
XAGUSD H2 AGA06|24.999,2021-07,58.71
XAGUSD H2 AGA04|24.753,2021-07,11.59
XAGUSD H2 AGA09|24.753,2021-07,10.54
XAGUSD H2 AGA06|24.753,2021-07,10.44
XAGUSD H2 AGA09|25.471,2021-07,0.47
XAGUSD H2 AGA04|25.471,2021-07,0.52
XAGUSD H2 AGA06|25.471,2021-07,0.47
