jeu,mois,net
XAGUSD H2 AGA06|19.915,2022-10,20.17
XAGUSD H2 AGA09|20.012,2022-10,24.02
XAGUSD H2 AGA04|20.012,2022-10,0.57
XAGUSD H2 AGA04|19.934,2022-10,7.67
XAGUSD H2 AGA09|19.934,2022-10,7.02
XAGUSD H2 AGA06|19.934,2022-10,7.02
XAGUSD H2 AGA09|19.677,2022-10,-4.56
XAGUSD H2 AGA04|19.677,2022-10,-4.76
XAGUSD H2 AGA06|19.677,2022-10,-4.56
XAGUSD H2 AGA04|19.775,2022-11,8.68
XAGUSD H2 AGA06|19.775,2022-11,5.28
XAGUSD H2 AGA09|19.775,2022-11,5.48
XAGUSD H2 AGA09|20.024,2022-11,0.67
XAGUSD H2 AGA04|20.024,2022-11,0.72
XAGUSD H2 AGA06|20.024,2022-11,0.72
XAGUSD H2 AGA09|18.899,2022-11,0.67
XAGUSD H2 AGA04|18.899,2022-11,0.72
XAGUSD H2 AGA06|18.899,2022-11,0.67
XAGUSD H2 AGA09|18.787,2022-11,-13.53
XAGUSD H2 AGA04|18.787,2022-11,-13.38
XAGUSD H2 AGA04|20.073,2022-11,0.72
XAGUSD H2 AGA09|20.073,2022-11,0.77
XAGUSD H2 AGA06|20.073,2022-11,0.77
XAGUSD H2 AGA09|21.624,2022-11,0.32
XAGUSD H2 AGA04|21.624,2022-11,0.67
XAGUSD H2 AGA06|21.624,2022-11,0.67
XAGUSD H2 AGA09|22.054,2022-11,-0.84
XAGUSD H2 AGA04|22.054,2022-11,-0.84
XAGUSD H2 AGA06|22.054,2022-11,-0.84
XAGUSD H2 AGA09|20.953,2022-11,0.77
XAGUSD H2 AGA04|20.750,2022-11,0.77
XAGUSD H2 AGA09|20.750,2022-11,0.77
XAGUSD H2 AGA06|20.750,2022-11,0.72
XAGUSD H2 AGA09|21.334,2022-11,0.67
XAGUSD H2 AGA09|21.618,2022-11,1.67
XAGUSD H2 AGA04|21.676,2022-11,0.62
XAGUSD H2 AGA09|21.676,2022-11,1.67
XAGUSD H2 AGA06|21.676,2022-11,2.67
XAGUSD H2 AGA09|22.246,2022-12,0.62
XAGUSD H2 AGA06|22.246,2022-12,0.62
XAGUSD H2 AGA09|23.520,2022-12,1.24
XAGUSD H2 AGA09|23.520,2023-03,23.04
XAGUSD H2 AGA04|23.520,2022-12,1.44
XAGUSD H2 AGA04|23.520,2023-03,23.04
XAGUSD H2 AGA06|23.520,2022-12,1.34
XAGUSD H2 AGA06|23.520,2023-03,19.92
XAGUSD H2 AGA09|23.685,2022-12,0.62
XAGUSD H2 AGA04|23.685,2022-12,0.62
XAGUSD H2 AGA06|23.685,2022-12,0.62
XAGUSD H2 AGA04|24.124,2022-12,-13.28
XAGUSD H2 AGA09|24.124,2022-12,-13.68
XAGUSD H2 AGA06|24.124,2022-12,-9.01
XAGUSD H2 AGA04|24.293,2022-12,-9.08
XAGUSD H2 AGA06|24.293,2022-12,-7.03
XAGUSD H2 AGA06|24.293,2023-01,2.92
XAGUSD H2 AGA09|24.293,2022-12,-6.98
XAGUSD H2 AGA04|24.283,2023-01,6.94
XAGUSD H2 AGA09|24.283,2023-01,5.24
XAGUSD H2 AGA06|24.283,2023-01,5.34
XAGUSD H2 AGA09|23.514,2023-01,0.67
XAGUSD H2 AGA04|23.460,2023-01,0.72
XAGUSD H2 AGA09|23.460,2023-01,5.67
XAGUSD H2 AGA06|23.460,2023-01,0.67
XAGUSD H2 AGA06|23.377,2023-01,0.67
XAGUSD H2 AGA09|23.425,2023-01,0.62
XAGUSD H2 AGA04|23.425,2023-01,1.42
XAGUSD H2 AGA06|23.425,2023-01,0.62
XAGUSD H2 AGA09|24.039,2023-01,0.67
XAGUSD H2 AGA09|24.039,2023-08,20.12
XAGUSD H2 AGA09|24.098,2023-01,0.57
XAGUSD H2 AGA04|24.098,2023-01,0.67
XAGUSD H2 AGA06|24.098,2023-01,0.67
XAGUSD H2 AGA09|24.177,2023-01,3.83
XAGUSD H2 AGA09|23.213,2023-01,-27.02
XAGUSD H2 AGA04|23.213,2023-01,-18.21
XAGUSD H2 AGA06|23.213,2023-01,-18.94
XAGUSD H2 AGA04|23.165,2023-01,0.57
XAGUSD H2 AGA09|23.165,2023-01,6.22
XAGUSD H2 AGA06|23.165,2023-01,6.97
XAGUSD H2 AGA09|23.114,2023-01,6.22
XAGUSD H2 AGA04|23.114,2023-01,0.52
XAGUSD H2 AGA06|23.114,2023-01,0.57
XAGUSD H2 AGA04|24.156,2023-01,0.72
XAGUSD H2 AGA09|24.156,2023-01,0.72
XAGUSD H2 AGA06|24.156,2023-01,0.72
XAGUSD H2 AGA09|23.296,2023-01,6.77
XAGUSD H2 AGA04|23.296,2023-01,7.72
XAGUSD H2 AGA06|23.296,2023-01,6.77
XAGUSD H2 AGA04|24.290,2023-02,1.29
XAGUSD H2 AGA09|24.290,2023-02,-0.81
XAGUSD H2 AGA06|24.290,2023-02,-8.41
XAGUSD H2 AGA09|24.341,2023-02,14.93
XAGUSD H2 AGA09|24.506,2023-02,-1.91
XAGUSD H2 AGA04|24.506,2023-02,-2.68
XAGUSD H2 AGA06|24.506,2023-02,-1.96
XAGUSD H2 AGA04|24.548,2023-02,0.57
XAGUSD H2 AGA04|22.968,2023-02,10.57
XAGUSD H2 AGA04|22.755,2023-02,0.62
XAGUSD H2 AGA09|22.041,2023-02,1.56
XAGUSD H2 AGA04|22.041,2023-02,2.11
XAGUSD H2 AGA06|22.041,2023-02,1.46
XAGUSD H2 AGA09|21.425,2023-02,-7.95
XAGUSD H2 AGA04|21.425,2023-02,6.99
XAGUSD H2 AGA06|21.425,2023-02,11.02
XAGUSD H2 AGA09|21.905,2023-02,1.14
XAGUSD H2 AGA09|21.176,2023-02,1.24
XAGUSD H2 AGA04|21.176,2023-02,1.14
XAGUSD H2 AGA06|21.176,2023-02,1.14
XAGUSD H2 AGA04|21.175,2023-03,-14.24
XAGUSD H2 AGA09|21.175,2023-03,-5.76
XAGUSD H2 AGA06|21.175,2023-03,-5.04
XAGUSD H2 AGA09|20.670,2023-03,0.52
XAGUSD H2 AGA04|20.670,2023-03,0.52
XAGUSD H2 AGA06|20.670,2023-03,0.47
XAGUSD H2 AGA04|20.416,2023-03,69.39
XAGUSD H2 AGA09|20.416,2023-03,63.67
XAGUSD H2 AGA06|20.416,2023-03,39.29
XAGUSD H2 AGA09|19.911,2023-03,-11.76
XAGUSD H2 AGA04|19.911,2023-03,-17.91
XAGUSD H2 AGA06|19.911,2023-03,-11.96
XAGUSD H2 AGA09|21.304,2023-03,3.87
XAGUSD H2 AGA04|21.304,2023-03,4.77
XAGUSD H2 AGA06|21.304,2023-03,3.87
XAGUSD H2 AGA04|21.977,2023-03,-16.61
XAGUSD H2 AGA09|21.977,2023-03,-16.66
XAGUSD H2 AGA06|21.977,2023-03,-40.81
XAGUSD H2 AGA09|22.379,2023-03,4.43
XAGUSD H2 AGA04|22.379,2023-03,3.37
XAGUSD H2 AGA06|22.379,2023-03,4.43
XAGUSD H2 AGA09|22.712,2023-03,0.52
XAGUSD H2 AGA04|22.712,2023-03,0.52
XAGUSD H2 AGA06|22.712,2023-03,0.52
XAGUSD H2 AGA04|25.137,2023-04,5.68
XAGUSD H2 AGA09|25.137,2023-04,6.51
XAGUSD H2 AGA06|25.137,2023-04,9.45
XAGUSD H2 AGA09|24.806,2023-04,-4.86
XAGUSD H2 AGA04|24.806,2023-04,1.19
XAGUSD H2 AGA06|24.806,2023-04,-5.01
XAGUSD H2 AGA09|24.785,2023-04,16.91
XAGUSD H2 AGA04|24.785,2023-04,1.81
XAGUSD H2 AGA06|24.785,2023-04,17.91
XAGUSD H2 AGA04|24.638,2023-04,0.52
XAGUSD H2 AGA09|24.638,2023-04,5.67
XAGUSD H2 AGA06|24.638,2023-04,6.42
XAGUSD H2 AGA09|24.538,2023-04,6.37
XAGUSD H2 AGA04|24.538,2023-04,0.52
XAGUSD H2 AGA06|24.538,2023-04,0.62
XAGUSD H2 AGA09|24.495,2023-04,-17.63
XAGUSD H2 AGA04|24.495,2023-04,-17.53
XAGUSD H2 AGA06|24.495,2023-04,-8.43
XAGUSD H2 AGA09|25.226,2023-05,0.27
XAGUSD H2 AGA09|25.357,2023-05,45.14
XAGUSD H2 AGA04|25.491,2023-05,24.09
XAGUSD H2 AGA06|25.491,2023-05,42.19
XAGUSD H2 AGA09|25.491,2023-05,23.84
XAGUSD H2 AGA09|25.908,2023-05,-25.76
XAGUSD H2 AGA04|25.908,2023-05,-54.66
XAGUSD H2 AGA06|25.908,2023-05,-23.08
XAGUSD H2 AGA04|26.084,2023-05,-0.56
XAGUSD H2 AGA09|26.084,2023-05,-0.46
XAGUSD H2 AGA06|26.084,2023-05,-0.62
XAGUSD H2 AGA09|25.320,2023-05,0.62
XAGUSD H2 AGA04|25.320,2023-05,0.62
XAGUSD H2 AGA04|25.165,2023-05,7.77
XAGUSD H2 AGA09|25.165,2023-05,7.07
XAGUSD H2 AGA06|25.165,2023-05,7.07
XAGUSD H2 AGA09|24.578,2023-05,10.54
XAGUSD H2 AGA04|24.578,2023-05,15.24
XAGUSD H2 AGA06|24.578,2023-05,17.29
XAGUSD H2 AGA09|24.511,2023-05,13.89
XAGUSD H2 AGA04|24.511,2023-05,9.99
XAGUSD H2 AGA06|24.511,2023-05,11.29
XAGUSD H2 AGA09|23.736,2023-05,0.62
XAGUSD H2 AGA04|23.736,2023-05,0.57
XAGUSD H2 AGA06|23.736,2023-05,1.19
XAGUSD H2 AGA04|23.324,2023-05,3.32
XAGUSD H2 AGA09|23.324,2023-05,2.67
XAGUSD H2 AGA06|23.324,2023-05,2.67
XAGUSD H2 AGA09|23.371,2023-05,0.52
XAGUSD H2 AGA09|23.371,2024-01,-4.99
XAGUSD H2 AGA04|23.371,2023-05,0.57
XAGUSD H2 AGA04|23.371,2024-01,-4.99
XAGUSD H2 AGA06|23.371,2023-05,0.57
XAGUSD H2 AGA09|24.013,2023-06,-19.20
XAGUSD H2 AGA04|24.013,2023-06,-19.25
XAGUSD H2 AGA06|24.013,2023-06,-19.00
XAGUSD H2 AGA09|23.595,2023-06,-6.48
XAGUSD H2 AGA04|23.595,2023-06,10.52
XAGUSD H2 AGA06|23.595,2023-06,18.92
XAGUSD H2 AGA04|23.249,2023-06,10.52
XAGUSD H2 AGA09|23.249,2023-06,-8.48
XAGUSD H2 AGA06|23.249,2023-06,-6.28
XAGUSD H2 AGA09|23.217,2023-06,20.33
XAGUSD H2 AGA04|23.217,2023-06,1.12
XAGUSD H2 AGA06|23.217,2023-06,21.98
XAGUSD H2 AGA09|22.922,2023-06,42.29
XAGUSD H2 AGA04|22.922,2023-06,44.79
XAGUSD H2 AGA06|22.922,2023-06,18.42
XAGUSD H2 AGA04|22.679,2023-06,1.27
XAGUSD H2 AGA09|22.679,2023-06,1.27
XAGUSD H2 AGA04|23.094,2023-07,-3.16
XAGUSD H2 AGA09|23.094,2023-07,-5.36
XAGUSD H2 AGA06|23.068,2023-07,2.02
XAGUSD H2 AGA09|22.766,2023-07,0.52
XAGUSD H2 AGA04|23.306,2023-07,0.42
XAGUSD H2 AGA09|23.306,2023-07,-4.58
XAGUSD H2 AGA06|23.306,2023-07,-4.58
XAGUSD H2 AGA09|24.206,2023-07,1.04
XAGUSD H2 AGA04|24.206,2023-07,1.04
XAGUSD H2 AGA04|24.389,2023-07,-7.03
XAGUSD H2 AGA09|25.020,2023-07,-6.33
XAGUSD H2 AGA04|25.020,2023-07,-7.03
XAGUSD H2 AGA06|25.020,2023-07,-6.53
XAGUSD H2 AGA04|24.601,2023-07,-5.81
XAGUSD H2 AGA09|24.601,2023-07,-3.20
XAGUSD H2 AGA06|24.601,2023-07,0.63
XAGUSD H2 AGA09|24.260,2023-07,3.37
XAGUSD H2 AGA04|24.260,2023-07,3.87
XAGUSD H2 AGA06|24.260,2023-07,3.37
XAGUSD H2 AGA04|24.039,2023-08,11.84
XAGUSD H2 AGA06|24.039,2023-08,18.32
XAGUSD H2 AGA09|22.618,2023-08,0.84
XAGUSD H2 AGA04|22.618,2023-08,1.04
XAGUSD H2 AGA06|22.618,2023-08,1.46
XAGUSD H2 AGA09|22.783,2023-08,0.42
XAGUSD H2 AGA04|22.999,2023-08,-9.48
XAGUSD H2 AGA09|22.999,2023-08,-5.68
XAGUSD H2 AGA06|22.999,2023-08,-5.78
XAGUSD H2 AGA04|23.011,2023-08,15.19
XAGUSD H2 AGA09|23.011,2023-08,13.84
XAGUSD H2 AGA06|23.011,2023-08,13.74
XAGUSD H2 AGA09|23.792,2023-08,1.56
XAGUSD H2 AGA09|24.356,2023-08,-6.33
XAGUSD H2 AGA04|24.356,2023-08,-6.18
XAGUSD H2 AGA06|24.356,2023-08,-6.58
XAGUSD H2 AGA09|24.381,2023-08,14.14
XAGUSD H2 AGA04|24.381,2023-08,12.89
XAGUSD H2 AGA06|24.381,2023-08,12.39
XAGUSD H2 AGA04|24.835,2023-08,0.47
XAGUSD H2 AGA04|23.916,2023-09,21.42
XAGUSD H2 AGA06|23.916,2023-09,18.22
XAGUSD H2 AGA09|23.916,2023-09,19.77
XAGUSD H2 AGA09|22.834,2023-09,-11.68
XAGUSD H2 AGA04|22.834,2023-09,-14.00
XAGUSD H2 AGA06|22.834,2023-09,-14.55
XAGUSD H2 AGA09|22.345,2023-09,0.42
XAGUSD H2 AGA04|23.221,2023-09,-1.96
XAGUSD H2 AGA09|23.221,2023-09,-2.01
XAGUSD H2 AGA06|23.221,2023-09,0.37
XAGUSD H2 AGA09|23.289,2023-09,-4.38
XAGUSD H2 AGA04|23.289,2023-09,0.32
XAGUSD H2 AGA06|23.289,2023-09,-4.53
XAGUSD H2 AGA09|23.590,2023-09,-0.24
XAGUSD H2 AGA04|23.590,2023-09,-0.34
XAGUSD H2 AGA06|23.590,2023-09,-0.24
XAGUSD H2 AGA09|22.809,2023-09,0.35
XAGUSD H2 AGA04|22.809,2023-09,0.30
XAGUSD H2 AGA06|22.809,2023-09,-0.19
XAGUSD H2 AGA04|22.295,2023-09,-0.04
XAGUSD H2 AGA04|22.295,2023-10,19.92
XAGUSD H2 AGA09|22.295,2023-09,-0.04
XAGUSD H2 AGA09|22.295,2023-10,17.92
XAGUSD H2 AGA06|22.295,2023-09,-0.04
XAGUSD H2 AGA06|22.295,2023-10,16.67
XAGUSD H2 AGA09|20.681,2023-10,-11.36
XAGUSD H2 AGA04|20.681,2023-10,-11.31
XAGUSD H2 AGA06|20.681,2023-10,-11.21
XAGUSD H2 AGA09|22.011,2023-10,0.42
XAGUSD H2 AGA04|22.011,2023-10,0.52
XAGUSD H2 AGA06|22.011,2023-10,0.42
XAGUSD H2 AGA09|22.238,2023-10,62.66
XAGUSD H2 AGA04|22.238,2023-10,37.16
XAGUSD H2 AGA06|22.238,2023-10,57.51
XAGUSD H2 AGA09|22.818,2023-10,0.42
XAGUSD H2 AGA04|22.818,2023-10,0.52
XAGUSD H2 AGA06|22.818,2023-10,0.52
XAGUSD H2 AGA09|23.317,2023-10,10.47
XAGUSD H2 AGA04|23.317,2023-10,0.52
XAGUSD H2 AGA06|23.317,2023-10,19.72
XAGUSD H2 AGA04|23.556,2023-10,0.57
XAGUSD H2 AGA09|23.556,2023-10,10.47
XAGUSD H2 AGA06|23.556,2023-10,0.57
XAGUSD H2 AGA09|22.657,2023-10,-9.68
XAGUSD H2 AGA09|22.589,2023-10,-8.78
XAGUSD H2 AGA04|22.589,2023-10,0.57
XAGUSD H2 AGA06|22.589,2023-10,-8.88
XAGUSD H2 AGA09|23.135,2023-10,26.34
XAGUSD H2 AGA04|23.135,2023-10,-1.86
XAGUSD H2 AGA06|23.135,2023-10,-1.86
XAGUSD H2 AGA04|22.538,2023-11,0.57
XAGUSD H2 AGA09|22.538,2023-11,0.57
XAGUSD H2 AGA06|22.538,2023-11,0.57
XAGUSD H2 AGA09|22.441,2023-11,0.73
XAGUSD H2 AGA04|22.441,2023-11,0.62
XAGUSD H2 AGA06|22.441,2023-11,0.57
XAGUSD H2 AGA09|22.368,2023-11,0.62
XAGUSD H2 AGA09|22.299,2023-11,1.24
XAGUSD H2 AGA04|22.299,2023-11,1.24
XAGUSD H2 AGA06|22.299,2023-11,1.24
XAGUSD H2 AGA09|22.988,2023-11,0.57
XAGUSD H2 AGA06|22.988,2023-11,0.57
XAGUSD H2 AGA04|22.988,2023-11,0.57
XAGUSD H2 AGA04|23.301,2023-11,3.04
XAGUSD H2 AGA09|23.301,2023-11,-10.66
XAGUSD H2 AGA06|23.301,2023-11,-6.73
XAGUSD H2 AGA04|23.602,2023-11,7.82
XAGUSD H2 AGA09|23.602,2023-11,-12.08
XAGUSD H2 AGA06|23.602,2023-11,7.07
XAGUSD H2 AGA09|23.696,2023-11,19.24
XAGUSD H2 AGA04|23.696,2023-11,19.04
XAGUSD H2 AGA09|24.014,2023-11,64.44
XAGUSD H2 AGA04|24.014,2023-11,70.04
XAGUSD H2 AGA06|24.014,2023-11,58.44
XAGUSD H2 AGA09|24.142,2023-11,21.63
XAGUSD H2 AGA04|24.142,2023-11,23.58
XAGUSD H2 AGA06|24.142,2023-11,19.73
XAGUSD H2 AGA09|25.259,2023-11,-0.04
XAGUSD H2 AGA09|25.259,2023-12,0.12
XAGUSD H2 AGA04|23.242,2023-12,-1.88
XAGUSD H2 AGA09|23.242,2023-12,-2.13
XAGUSD H2 AGA06|23.242,2023-12,-1.88
XAGUSD H2 AGA09|23.152,2023-12,22.67
XAGUSD H2 AGA04|23.152,2023-12,24.52
XAGUSD H2 AGA06|23.152,2023-12,20.57
XAGUSD H2 AGA09|24.288,2023-12,0.47
XAGUSD H2 AGA04|24.288,2023-12,0.52
XAGUSD H2 AGA06|24.288,2023-12,0.52
XAGUSD H2 AGA09|23.947,2023-12,0.68
XAGUSD H2 AGA04|23.947,2023-12,0.53
XAGUSD H2 AGA06|23.947,2023-12,0.68
XAGUSD H2 AGA09|23.657,2023-12,0.57
XAGUSD H2 AGA04|23.657,2023-12,0.52
XAGUSD H2 AGA06|23.657,2023-12,0.57
XAGUSD H2 AGA09|23.535,2024-01,43.44
XAGUSD H2 AGA04|23.535,2024-01,47.14
XAGUSD H2 AGA06|23.535,2024-01,59.66
XAGUSD H2 AGA04|22.686,2024-01,-10.11
XAGUSD H2 AGA09|22.686,2024-01,-10.21
XAGUSD H2 AGA06|22.686,2024-01,-10.61
XAGUSD H2 AGA09|22.507,2024-01,-7.23
XAGUSD H2 AGA04|22.507,2024-01,0.57
XAGUSD H2 AGA09|23.513,2024-01,-15.66
XAGUSD H2 AGA04|23.513,2024-01,-15.46
XAGUSD H2 AGA06|23.513,2024-01,-16.36
XAGUSD H2 AGA04|22.471,2024-01,-1.41
XAGUSD H2 AGA09|22.471,2024-01,-1.61
XAGUSD H2 AGA06|22.471,2024-01,-1.41
XAGUSD H2 AGA04|22.369,2024-01,22.07
XAGUSD H2 AGA09|22.369,2024-01,20.22
XAGUSD H2 AGA06|22.369,2024-01,18.67
XAGUSD H2 AGA09|22.841,2024-01,1.41
XAGUSD H2 AGA04|22.841,2024-01,1.46
XAGUSD H2 AGA06|22.841,2024-01,1.46
XAGUSD H2 AGA04|23.018,2024-01,-7.01
XAGUSD H2 AGA06|23.018,2024-01,-7.86
XAGUSD H2 AGA09|23.018,2024-01,-7.46
XAGUSD H2 AGA09|22.699,2024-02,0.89
XAGUSD H2 AGA09|22.241,2024-02,1.04
XAGUSD H2 AGA04|22.241,2024-02,0.79
XAGUSD H2 AGA06|22.241,2024-02,0.94
XAGUSD H2 AGA09|22.139,2024-02,1.21
XAGUSD H2 AGA04|22.139,2024-02,1.31
XAGUSD H2 AGA06|22.139,2024-02,1.21
XAGUSD H2 AGA09|21.915,2024-02,-8.81
XAGUSD H2 AGA04|21.915,2024-02,-13.76
XAGUSD H2 AGA06|21.915,2024-02,-5.28
XAGUSD H2 AGA04|23.072,2024-02,-30.37
XAGUSD H2 AGA09|23.072,2024-02,-19.47
XAGUSD H2 AGA06|23.072,2024-02,-19.87
XAGUSD H2 AGA04|23.322,2024-02,0.90
XAGUSD H2 AGA09|23.322,2024-02,-0.49
XAGUSD H2 AGA06|23.322,2024-02,0.26
XAGUSD H2 AGA09|22.914,2024-02,1.68
XAGUSD H2 AGA09|23.189,2024-03,-0.01
XAGUSD H2 AGA04|23.498,2024-03,21.72
XAGUSD H2 AGA09|23.498,2024-03,20.07
XAGUSD H2 AGA06|23.498,2024-03,18.37
XAGUSD H2 AGA09|24.225,2024-03,1.04
XAGUSD H2 AGA09|24.629,2024-03,1.04
XAGUSD H2 AGA04|24.629,2024-03,1.04
XAGUSD H2 AGA06|24.629,2024-03,0.99
XAGUSD H2 AGA09|24.681,2024-03,0.42
XAGUSD H2 AGA09|25.155,2024-03,0.89
XAGUSD H2 AGA09|25.442,2024-03,2.25
XAGUSD H2 AGA04|25.442,2024-03,0.47
XAGUSD H2 AGA06|25.442,2024-03,2.62
XAGUSD H2 AGA09|24.726,2024-03,1.14
XAGUSD H2 AGA04|24.726,2024-03,1.09
XAGUSD H2 AGA06|24.726,2024-03,1.04
XAGUSD H2 AGA09|24.401,2024-03,-1.19
XAGUSD H2 AGA04|24.401,2024-03,1.61
XAGUSD H2 AGA06|24.401,2024-03,1.56
XAGUSD H2 AGA09|24.889,2024-03,0.42
XAGUSD H2 AGA04|24.889,2024-03,0.57
XAGUSD H2 AGA06|24.889,2024-03,0.52
XAGUSD H2 AGA04|25.773,2024-04,1.04
XAGUSD H2 AGA09|25.773,2024-04,0.94
XAGUSD H2 AGA06|25.773,2024-04,1.04
XAGUSD H2 AGA04|27.335,2024-04,-10.89
XAGUSD H2 AGA09|27.335,2024-04,-11.24
XAGUSD H2 AGA06|27.335,2024-04,-17.99
XAGUSD H2 AGA09|28.518,2024-04,130.13
XAGUSD H2 AGA04|28.518,2024-04,141.23
XAGUSD H2 AGA06|28.518,2024-04,117.24
XAGUSD H2 AGA09|27.949,2024-04,0.77
XAGUSD H2 AGA04|27.586,2024-04,0.77
XAGUSD H2 AGA09|27.586,2024-04,10.82
XAGUSD H2 AGA06|27.586,2024-04,11.67
XAGUSD H2 AGA09|27.527,2024-04,10.82
XAGUSD H2 AGA06|27.527,2024-04,0.77
XAGUSD H2 AGA09|27.487,2024-04,4.15
XAGUSD H2 AGA09|26.973,2024-04,-7.03
XAGUSD H2 AGA04|26.665,2024-04,0.72
XAGUSD H2 AGA09|26.665,2024-04,0.87
XAGUSD H2 AGA06|26.665,2024-04,1.59
XAGUSD H2 AGA09|26.279,2024-04,-0.08
XAGUSD H2 AGA09|26.279,2024-05,1.94
XAGUSD H2 AGA09|26.230,2024-05,0.82
XAGUSD H2 AGA04|26.230,2024-05,0.82
XAGUSD H2 AGA06|26.230,2024-05,0.82
XAGUSD H2 AGA09|26.968,2024-05,39.14
XAGUSD H2 AGA09|27.518,2024-05,4.76
XAGUSD H2 AGA04|27.518,2024-05,0.36
XAGUSD H2 AGA06|27.518,2024-05,32.08
XAGUSD H2 AGA09|27.730,2024-05,19.06
XAGUSD H2 AGA04|27.730,2024-05,2.56
XAGUSD H2 AGA06|27.730,2024-05,1.69
XAGUSD H2 AGA09|28.763,2024-05,-24.66
XAGUSD H2 AGA04|28.763,2024-05,-16.41
XAGUSD H2 AGA06|28.763,2024-05,-25.06
XAGUSD H2 AGA04|28.937,2024-05,-3.75
XAGUSD H2 AGA09|28.937,2024-05,-3.55
XAGUSD H2 AGA09|29.842,2024-05,61.33
XAGUSD H2 AGA04|29.842,2024-05,66.93
XAGUSD H2 AGA06|29.842,2024-05,60.84
XAGUSD H2 AGA04|30.039,2024-06,0.97
XAGUSD H2 AGA09|30.039,2024-06,0.97
XAGUSD H2 AGA06|30.039,2024-06,0.97
XAGUSD H2 AGA09|29.769,2024-06,0.97
XAGUSD H2 AGA09|30.884,2024-06,23.81
XAGUSD H2 AGA09|29.376,2024-06,0.92
XAGUSD H2 AGA04|29.376,2024-06,0.92
XAGUSD H2 AGA06|29.376,2024-06,0.92
XAGUSD H2 AGA09|29.087,2024-06,1.07
XAGUSD H2 AGA09|29.026,2024-06,1.12
XAGUSD H2 AGA04|29.026,2024-06,1.07
XAGUSD H2 AGA06|29.026,2024-06,1.12
XAGUSD H2 AGA09|29.571,2024-06,3.36
XAGUSD H2 AGA09|29.667,2024-06,151.85
XAGUSD H2 AGA04|29.667,2024-06,43.89
XAGUSD H2 AGA06|29.667,2024-06,137.50
XAGUSD H2 AGA09|30.251,2024-06,20.90
XAGUSD H2 AGA04|30.251,2024-06,1.12
XAGUSD H2 AGA06|30.251,2024-06,20.90
XAGUSD H2 AGA04|28.921,2024-06,2.26
XAGUSD H2 AGA09|28.921,2024-06,2.36
XAGUSD H2 AGA06|28.921,2024-06,2.56
XAGUSD H2 AGA04|28.654,2024-06,-8.52
XAGUSD H2 AGA09|28.654,2024-06,-21.52
XAGUSD H2 AGA06|28.654,2024-06,-9.64
XAGUSD H2 AGA09|29.622,2024-07,0.92
XAGUSD H2 AGA04|29.622,2024-07,1.02
XAGUSD H2 AGA06|29.622,2024-07,0.92
XAGUSD H2 AGA09|30.668,2024-07,-7.21
XAGUSD H2 AGA06|30.668,2024-07,-6.86
XAGUSD H2 AGA04|30.848,2024-07,0.97
XAGUSD H2 AGA09|30.848,2024-07,0.92
XAGUSD H2 AGA06|30.848,2024-07,0.97
XAGUSD H2 AGA04|31.487,2024-07,0.92
XAGUSD H2 AGA09|31.487,2024-07,0.97
XAGUSD H2 AGA06|31.487,2024-07,0.97
XAGUSD H2 AGA09|30.384,2024-07,4.49
XAGUSD H2 AGA04|30.384,2024-07,0.92
XAGUSD H2 AGA06|30.384,2024-07,4.49
XAGUSD H2 AGA04|30.105,2024-07,-4.74
XAGUSD H2 AGA09|30.105,2024-07,-0.49
XAGUSD H2 AGA06|30.105,2024-07,1.84
XAGUSD H2 AGA09|28.663,2024-07,0.82
XAGUSD H2 AGA04|28.663,2024-07,0.72
XAGUSD H2 AGA06|28.663,2024-07,0.82
XAGUSD H2 AGA04|28.566,2024-07,67.29
XAGUSD H2 AGA04|27.409,2024-07,0.72
XAGUSD H2 AGA09|27.409,2024-07,0.82
XAGUSD H2 AGA06|27.409,2024-07,0.82
XAGUSD H2 AGA09|28.189,2024-07,61.26
XAGUSD H2 AGA04|28.189,2024-07,66.56
XAGUSD H2 AGA06|28.189,2024-07,55.76
XAGUSD H2 AGA04|29.153,2024-08,-58.44
XAGUSD H2 AGA04|27.305,2024-08,104.76
XAGUSD H2 AGA09|27.305,2024-08,96.51
XAGUSD H2 AGA06|27.305,2024-08,88.21
XAGUSD H2 AGA09|26.504,2024-08,-12.83
XAGUSD H2 AGA04|26.504,2024-08,-12.68
XAGUSD H2 AGA06|26.504,2024-08,-13.38
XAGUSD H2 AGA09|27.761,2024-08,0.97
XAGUSD H2 AGA09|28.051,2024-08,-8.41
XAGUSD H2 AGA04|28.051,2024-08,-13.86
XAGUSD H2 AGA06|28.051,2024-08,-8.61
XAGUSD H2 AGA09|27.217,2024-08,0.97
XAGUSD H2 AGA04|29.224,2024-08,0.92
XAGUSD H2 AGA09|29.224,2024-08,0.87
XAGUSD H2 AGA06|29.224,2024-08,0.92
XAGUSD H2 AGA04|29.448,2024-08,-0.49
XAGUSD H2 AGA09|29.448,2024-08,-0.59
XAGUSD H2 AGA04|29.966,2024-08,-2.06
XAGUSD H2 AGA09|29.966,2024-08,-2.26
XAGUSD H2 AGA06|29.966,2024-08,0.72
XAGUSD H2 AGA09|29.074,2024-08,-0.04
XAGUSD H2 AGA09|29.074,2024-09,34.12
XAGUSD H2 AGA04|29.074,2024-08,0.92
XAGUSD H2 AGA06|29.074,2024-08,-0.04
XAGUSD H2 AGA06|29.074,2024-09,36.57
