n132_eagleowl_or_b2_v135.htm — EagleOwl_v1 · XAUUSD.p · 6272 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     226      609  1.52   2.69     129   4.73  151   74 |   195/60    180/61    232/56      1/49 
Gold Reaper 8|2352.57      2       29   inf  14.30       0 238.42    2    0 |     0/0       0/0       0/0      29/2  
Gold Reaper 1|1974.44      2       28   inf  14.18       0 354.50    0    2 |     0/0      28/2       0/0       0/0  
Gold Reaper 8|2451.50      4       28 10.94   7.08       3   8.84    0    3 |     0/0       0/0       0/0      28/4  
GoldDaily1|2007.54         1       28   inf  28.25       0 706.25    1    0 |     0/0       0/0      28/1       0/0  
Gold Reaper 7|2624.75      2       28   inf  14.07       0 351.75    2    0 |     0/0       0/0       0/0      28/2  
GoldDaily3|2529.23         1       28   inf  27.63       0 690.75    0    1 |     0/0       0/0       0/0      28/1  
GoldDaily3|2222.93         1       27   inf  27.40       0 685.00    0    1 |     0/0       0/0       0/0      27/1  
Gold Reaper 1|1850.39      2       27   inf  13.62       0 340.50    0    2 |     0/0      27/2       0/0       0/0  
Gold Reaper 7|2406.26      2       27   inf  13.37       0 334.12    0    2 |     0/0       0/0       0/0      27/2  
GoldDaily3|2009.92         1       27   inf  26.63       0 665.75    0    1 |     0/0       0/0      27/1       0/0  
Gold Reaper 8|1720.36      5       27 12.55   5.32       3   9.72    0    4 |     0/0      27/5       0/0       0/0  
GoldDaily1|2004.11         1       27   inf  26.52       0 663.00    1    0 |     0/0       0/0      27/1       0/0  
GoldbotOne_8|2324.27       1       26   inf  26.12       0 653.00    0    1 |     0/0       0/0       0/0      26/1  
GoldDaily1|2332.07         1       26   inf  26.08       0 652.00    1    0 |     0/0       0/0       0/0      26/1  
Gold Reaper 8|2222.93      1       26   inf  26.02       0 650.50    1    0 |     0/0       0/0       0/0      26/1  
GoldDaily2|2222.93         1       26   inf  25.90       0 647.50    1    0 |     0/0       0/0       0/0      26/1  
Gold Reaper 3|2001.86      2       26 21.18  12.83       1  17.83    0    1 |     0/0       0/0       0/0      26/2  
GoldDaily1|2529.23         1       26   inf  25.55       0 638.75    0    1 |     0/0       0/0       0/0      26/1  
Gold Reaper 1|1758.67      2       25   inf  12.61       0 315.25    0    2 |    25/2       0/0       0/0       0/0  
Gold Reaper 8|1969.85      3       25   inf   8.40       0 209.92    0    3 |     0/0       0/0      25/3       0/0  
Gold Reaper 7|1874.07      2       25  3.52  12.55      10   2.48    1    1 |     0/0      25/2       0/0       0/0  
GoldDaily2|1884.84         1       25   inf  25.06       0 626.50    1    0 |     0/0       0/0      25/1       0/0  
Gold Reaper 7|2012.31      1       25   inf  24.99       0 624.75    0    1 |     0/0       0/0      25/1       0/0  
GoldDaily3|1932.42         1       25   inf  24.93       0 623.25    0    1 |     0/0       0/0      25/1       0/0  
GoldbotOne_8|2392.92       1       25   inf  24.88       0 622.00    0    1 |     0/0       0/0       0/0      25/1  
Gold Reaper 1|1834.00      2       25   inf  12.39       0 309.88    0    2 |    25/2       0/0       0/0       0/0  
GoldDaily1|1854.85         1       25   inf  24.75       0 618.75    0    1 |    25/1       0/0       0/0       0/0  
Gold Reaper 7|1913.91      4       25   inf   6.16       0  87.96    4    0 |     0/0       0/0      25/4       0/0  
GoldDaily3|2003.33         1       25   inf  24.57       0 614.25    0    1 |     0/0       0/0      25/1       0/0  
Gold Reaper 8|1911.40      3       24   inf   8.16       0 204.00    0    3 |     0/0       0/0      24/3       0/0  
Gold Reaper 8|1907.58      2       24   inf  12.14       0 303.50    1    1 |     0/0       0/0      24/2       0/0  
DaytradePro_XAUUSD|178     1       24   inf  24.14       0 603.50    0    1 |     0/0      24/1       0/0       0/0  
Gold Reaper 7|1844.66      1       24   inf  24.13       0 603.25    1    0 |    24/1       0/0       0/0       0/0  
Gold Reaper 7|2000.90      3       24  3.00   8.02      12   1.94    0    2 |     0/0       0/0      24/3       0/0  
Gold Reaper 1|1884.84      3       24  9.07   8.02       3   7.40    0    2 |     0/0       0/0      24/3       0/0  
GoldDaily3|1974.44         1       24   inf  23.74       0 593.50    0    1 |     0/0      24/1       0/0       0/0  
GoldbotOne_8|2195.21       1       24   inf  23.69       0 592.25    0    1 |     0/0       0/0       0/0      24/1  
GoldDaily3|1754.31         1       24   inf  23.64       0 591.00    0    1 |     0/0      24/1       0/0       0/0  
GoldDaily1|2222.93         1       23   inf  23.46       0 586.50    1    0 |     0/0       0/0       0/0      23/1  
goldtrade_H|2613.45        1       23   inf  23.28       0 582.00    1    0 |     0/0       0/0       0/0      23/1  
GoldbotOne_8|2222.93       1       23   inf  23.25       0 581.25    0    1 |     0/0       0/0       0/0      23/1  
Gold Reaper 4|1781.57      1       23   inf  23.10       0 577.50    0    1 |    23/1       0/0       0/0       0/0  
Gold Reaper 3|1833.35      3       23   inf   7.66       0 191.58    3    0 |     0/0       0/0      23/3       0/0  
Gold Reaper 1|1688.85      1       23   inf  22.98       0 574.50    1    0 |     0/0      23/1       0/0       0/0  
Gold Reaper 8|2070.66      5       23  8.21   4.57       4   6.31    0    3 |     0/0       0/0      23/5       0/0  
Gold Reaper 8|1914.10      4       23 19.51   5.71       2  14.54    0    3 |     0/0      23/4       0/0       0/0  
GoldDaily3|1719.23         1       23   inf  22.82       0 570.50    0    1 |    23/1       0/0       0/0       0/0  
GoldDaily1|1858.22         1       23   inf  22.77       0 569.25    0    1 |     0/0       0/0      23/1       0/0  
Gold Reaper 7|2051.94      2       23   inf  11.32       0 283.00    0    2 |     0/0       0/0      23/2       0/0  
DaytradePro_XAUUSD|194     2       23   inf  11.32       0 282.88    0    2 |     0/0       0/0      23/2       0/0  
Gold Reaper 4|2051.94      1       23   inf  22.62       0 565.50    0    1 |     0/0       0/0      23/1       0/0  
Gold Reaper 8|2613.45      2       23   inf  11.27       0 281.75    0    2 |     0/0       0/0       0/0      23/2  
