n121_eagleowl_or_reverif_v141.htm — EagleOwl_v1 · XAUUSD.p · 6690 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
M5_C                     300      946  1.66   3.15     175   5.39  200   98 |   228/74    262/78    280/82    176/66 
Gold Reaper 5|1954.24      4       27   inf   6.71       0 167.62    0    4 |     0/0       0/0      27/4       0/0  
Gold Reaper 6|2560.76      1       27   inf  26.76       0 669.00    0    1 |     0/0       0/0       0/0      27/1  
Gold Reaper 5|1809.55      3       27   inf   8.89       0 222.33    0    3 |    27/3       0/0       0/0       0/0  
GoldDaily3|2009.92         1       27   inf  26.63       0 665.75    0    1 |     0/0       0/0      27/1       0/0  
Gold Reaper 7|2007.54      1       27   inf  26.52       0 663.00    1    0 |     0/0       0/0      27/1       0/0  
GoldDaily3|2080.01         1       26   inf  26.42       0 660.50    0    1 |     0/0       0/0      26/1       0/0  
Gold Reaper 6|1843.65      5       26   inf   5.25       0 131.20    0    5 |    26/5       0/0       0/0       0/0  
Gold Reaper 6|2632.45      3       26   inf   8.72       0 218.00    0    3 |     0/0       0/0       0/0      26/3  
GoldbotOne_8|2324.27       1       26   inf  26.12       0 653.00    0    1 |     0/0       0/0       0/0      26/1  
GoldDaily1|2332.07         1       26   inf  26.08       0 652.00    1    0 |     0/0       0/0       0/0      26/1  
GoldDaily2|2222.93         1       26   inf  26.02       0 650.50    1    0 |     0/0       0/0       0/0      26/1  
Gold Reaper 7|1720.36      4       26 12.06   6.50       3   9.63    0    3 |     0/0      26/4       0/0       0/0  
Gold Reaper 4|2222.93      1       26   inf  25.90       0 647.50    1    0 |     0/0       0/0       0/0      26/1  
GoldDaily3|2065.45         1       26   inf  25.82       0 645.50    0    1 |     0/0       0/0       0/0      26/1  
GoldbotOne_8|2450.11       1       26   inf  25.68       0 642.00    0    1 |     0/0       0/0       0/0      26/1  
GoldDaily1|2529.23         1       26   inf  25.55       0 638.75    0    1 |     0/0       0/0       0/0      26/1  
Gold Reaper 6|1940.58      4       25   inf   6.36       0 159.00    0    4 |     0/0      25/4       0/0       0/0  
Gold Reaper 6|1911.40      4       25   inf   6.32       0 158.06    0    4 |     0/0       0/0      25/4       0/0  
GoldDaily3|2009.37         1       25   inf  24.99       0 624.75    0    1 |     0/0       0/0      25/1       0/0  
Gold Reaper 5|1882.30      1       25   inf  24.98       0 624.50    0    1 |    25/1       0/0       0/0       0/0  
GoldDaily3|1932.42         1       25   inf  24.93       0 623.25    0    1 |     0/0       0/0      25/1       0/0  
GoldbotOne_8|2392.92       1       25   inf  24.88       0 622.00    0    1 |     0/0       0/0       0/0      25/1  
GoldDaily1|1854.85         1       25   inf  24.75       0 618.75    0    1 |    25/1       0/0       0/0       0/0  
GoldDaily3|2003.33         1       25   inf  24.57       0 614.25    0    1 |     0/0       0/0      25/1       0/0  
GoldDaily3|1916.59         1       25   inf  24.53       0 613.25    0    1 |     0/0      25/1       0/0       0/0  
GoldDaily3|2332.07         1       25   inf  24.53       0 613.25    0    1 |     0/0       0/0       0/0      25/1  
GoldDaily3|1959.76         1       24   inf  24.41       0 610.25    0    1 |     0/0       0/0      24/1       0/0  
Gold Reaper 5|1844.66      1       24   inf  24.13       0 603.25    1    0 |    24/1       0/0       0/0       0/0  
Gold Reaper 6|2324.27      3       24   inf   8.04       0 201.00    0    3 |     0/0       0/0       0/0      24/3  
Gold Reaper 6|2424.57      3       24   inf   8.03       0 200.67    0    3 |     0/0       0/0       0/0      24/3  
GoldDaily3|1974.44         1       24   inf  23.74       0 593.50    0    1 |     0/0      24/1       0/0       0/0  
GoldDaily3|2195.21         1       24   inf  23.69       0 592.25    0    1 |     0/0       0/0       0/0      24/1  
Gold Reaper 5|1843.65      3       24   inf   7.87       0 196.83    3    0 |    24/3       0/0       0/0       0/0  
Gold Reaper 6|1791.60      4       24   inf   5.89       0 147.25    0    4 |    24/4       0/0       0/0       0/0  
GoldDaily3|1780.30         1       24   inf  23.52       0 588.00    0    1 |     0/0      24/1       0/0       0/0  
GoldDaily1|2222.93         1       23   inf  23.46       0 586.50    1    0 |     0/0       0/0       0/0      23/1  
Gold Reaper 6|1809.55      5       23 341.57   4.69       0  86.81    1    4 |    23/5       0/0       0/0       0/0  
GoldDaily3|1754.31         1       23   inf  23.35       0 583.75    0    1 |     0/0      23/1       0/0       0/0  
Gold Reaper 5|1907.58      1       23   inf  23.33       0 583.25    0    1 |     0/0       0/0      23/1       0/0  
Gold Reaper 5|1760.64      1       23   inf  23.31       0 582.75    0    1 |    23/1       0/0       0/0       0/0  
GoldbotOne_8|2222.93       1       23   inf  23.25       0 581.25    0    1 |     0/0       0/0       0/0      23/1  
Gold Reaper 4|1781.57      1       23   inf  23.24       0 581.00    0    1 |    23/1       0/0       0/0       0/0  
GoldDaily1|1691.43         1       23   inf  22.98       0 574.50    1    0 |     0/0      23/1       0/0       0/0  
GoldDaily3|1750.68         1       23   inf  22.96       0 574.00    0    1 |    23/1       0/0       0/0       0/0  
Gold Reaper 5|1732.22      3       23   inf   7.61       0 190.25    0    3 |     0/0      23/3       0/0       0/0  
GoldDaily3|1719.23         1       23   inf  22.82       0 570.50    0    1 |    23/1       0/0       0/0       0/0  
Gold Reaper 6|1858.22      1       23   inf  22.77       0 569.25    0    1 |     0/0       0/0      23/1       0/0  
Gold Reaper 4|2051.94      1       23   inf  22.62       0 565.50    0    1 |     0/0       0/0      23/1       0/0  
Gold Reaper 6|2014.91      1       23   inf  22.58       0 564.50    0    1 |     0/0       0/0       0/0      23/1  
goldtrade_H|1833.35        2       23   inf  11.28       0 282.00    2    0 |     0/0       0/0      23/2       0/0  
Gold Reaper 5|2633.15      3       22   inf   7.50       0 187.42    0    3 |     0/0       0/0       0/0      22/3  
GoldDaily1|2392.92         1       22   inf  22.47       0 561.75    1    0 |     0/0       0/0       0/0      22/1  
Gold Reaper 6|1781.57      1       22   inf  22.42       0 560.50    0    1 |    22/1       0/0       0/0       0/0  
GoldDaily3|1999.46         1       22   inf  22.34       0 558.50    0    1 |     0/0       0/0      22/1       0/0  
GoldbotOne_8|1680.86       1       22   inf  22.27       0 556.75    0    1 |     0/0      22/1       0/0       0/0  
GoldDaily1|1780.04         1       22   inf  22.17       0 554.25    1    0 |    22/1       0/0       0/0       0/0  
GoldbotOne_8|1855.37       1       22   inf  21.91       0 547.75    0    1 |    22/1       0/0       0/0       0/0  
GoldDaily1|1760.64         1       22   inf  21.88       0 547.00    1    0 |    22/1       0/0       0/0       0/0  
Gold Reaper 4|1900.99      1       22   inf  21.74       0 543.50    0    1 |     0/0       0/0      22/1       0/0  
GoldbotOne_8|2065.45       1       22   inf  21.72       0 543.00    0    1 |     0/0       0/0       0/0      22/1  
GoldDaily1|1719.23         1       22   inf  21.69       0 542.25    1    0 |    22/1       0/0       0/0       0/0  
GoldDaily3|1758.67         1       22   inf  21.65       0 541.25    0    1 |    22/1       0/0       0/0       0/0  
goldtrade_H|1969.23        1       22   inf  21.64       0 541.00    0    1 |     0/0       0/0      22/1       0/0  
GoldDaily3|1808.74         1       22   inf  21.63       0 540.75    1    0 |    22/1       0/0       0/0       0/0  
goldtrade_D|1729.44        1       22   inf  21.50       0 537.50    0    1 |     0/0      22/1       0/0       0/0  
Gold Reaper 6|2030.79      1       21   inf  21.45       0 536.25    0    1 |     0/0       0/0      21/1       0/0  
Gold Reaper 7|1810.41      1       21   inf  21.37       0 534.25    1    0 |    21/1       0/0       0/0       0/0  
Gold Reaper 7|1900.99      1       21   inf  21.34       0 533.50    0    1 |     0/0       0/0      21/1       0/0  
GoldDaily3|1882.30         1       21   inf  21.17       0 529.25    0    1 |    21/1       0/0       0/0       0/0  
Gold Reaper 5|2020.20      3       21   inf   7.04       0 176.00    0    3 |     0/0       0/0       0/0      21/3  
GoldDaily3|1915.04         1       21   inf  21.11       0 527.75    0    1 |     0/0      21/1       0/0       0/0  
GoldbotOne_8|1959.76       1       21   inf  21.04       0 526.00    0    1 |     0/0       0/0      21/1       0/0  
GoldbotOne_8|1932.42       1       21   inf  21.04       0 526.00    0    1 |     0/0       0/0      21/1       0/0  
GoldDaily3|1854.85         1       21   inf  20.93       0 523.25    0    1 |    21/1       0/0       0/0       0/0  
GoldbotOne_8|2048.16       1       21   inf  20.91       0 522.75    1    0 |     0/0       0/0      21/1       0/0  
GoldDaily3|1810.41         1       21   inf  20.90       0 522.50    0    1 |    21/1       0/0       0/0       0/0  
Gold Reaper 5|2339.74      1       21   inf  20.88       0 522.00    0    0 |     0/0       0/0       0/0      21/1  
GoldbotOne_8|1916.59       1       21   inf  20.80       0 520.00    0    1 |     0/0      21/1       0/0       0/0  
GoldbotOne_8|2003.33       1       21   inf  20.77       0 519.25    0    1 |     0/0       0/0      21/1       0/0  
GoldDaily2|2001.86         1       21   inf  20.77       0 519.25    1    0 |     0/0       0/0       0/0      21/1  
DaytradePro_XAUUSD|183     2       21   inf  10.37       0 259.13    0    2 |     0/0       0/0      21/2       0/0  
Gold Reaper 5|2034.94      3       21   inf   6.88       0 171.92    0    3 |     0/0       0/0       0/0      21/3  
DaytradePro_XAUUSD|190     1       21   inf  20.58       0 514.50    0    1 |     0/0       0/0      21/1       0/0  
GoldDaily3|1688.00         1       21   inf  20.53       0 513.25    0    1 |     0/0      21/1       0/0       0/0  
goldtrade_H|2195.21        1       20   inf  20.50       0 512.50    1    0 |     0/0       0/0       0/0      20/1  
