emp_n150_xag.htm — EagleOwl_v1 · XAGUSD.p · 4328 lignes de deals · sorties non attribuées : 0
jeu                       tr    net $    PF    moy  creux$ net/cr   sl   tp |      2021      2022      2023      2024
XAGUSD H2 AGA09|30.190     3       45   inf  14.89       0 372.17    3    0 |     0/0       0/0       0/0      45/3  
XAGUSD H2 AGA09|25.759     2       44   inf  21.96       0 548.88    0    2 |    44/2       0/0       0/0       0/0  
XAGUSD H2 AGA04|29.667     4       44   inf  10.97       0 274.31    4    0 |     0/0       0/0       0/0      44/4  
XAGUSD H2 AGA09|23.535     2       43   inf  21.72       0 543.00    0    2 |     0/0       0/0       0/0      43/2  
XAGUSD H2 AGA09|22.922     2       42   inf  21.14       0 528.62    0    2 |     0/0       0/0      42/2       0/0  
XAGUSD H2 AGA06|25.491     2       42   inf  21.09       0 527.38    0    2 |     0/0       0/0      42/2       0/0  
XAGUSD H2 AGA04|32.957     1       41   inf  40.72       0 1018.00    0    1 |     0/0       0/0       0/0      41/1  
XAGUSD H2 AGA09|23.843     2       40   inf  20.08       0 502.00    0    2 |    40/2       0/0       0/0       0/0  
XAGUSD H2 AGA04|26.052     1       39   inf  39.42       0 985.50    0    1 |    39/1       0/0       0/0       0/0  
XAGUSD H2 AGA06|20.416     2       39   inf  19.64       0 491.12    0    2 |     0/0       0/0      39/2       0/0  
XAGUSD H2 AGA09|26.968     3       39   inf  13.05       0 326.17    3    0 |     0/0       0/0       0/0      39/3  
XAGUSD H2 AGA09|30.355     1       39   inf  39.12       0 978.00    0    1 |     0/0       0/0       0/0      39/1  
XAGUSD H2 AGA06|22.034     3       39   inf  12.95       0 485.75    1    2 |    39/3       0/0       0/0       0/0  
XAGUSD H2 AGA09|32.957     1       37   inf  37.27       0 931.75    0    1 |     0/0       0/0       0/0      37/1  
XAGUSD H2 AGA06|24.830     5       37   inf   7.45       0 232.81    5    0 |    37/4       1/1       0/0       0/0  
XAGUSD H2 AGA04|22.238     3       37   inf  12.39       0 309.67    3    0 |     0/0       0/0      37/3       0/0  
XAGUSD H2 AGA06|29.074     1       37   inf  36.53       0 913.25    0    1 |     0/0       0/0       0/0      37/1  
XAGUSD H2 AGA04|31.534     1       36   inf  36.02       0 900.50    0    1 |     0/0       0/0       0/0      36/1  
XAGUSD H2 AGA09|26.052     1       36   inf  35.82       0 895.50    0    1 |    36/1       0/0       0/0       0/0  
XAGUSD H2 AGA06|22.100     3       34   inf  11.44       0 285.92    3    0 |     0/0      34/3       0/0       0/0  
XAGUSD H2 AGA06|32.957     1       34   inf  34.17       0 854.25    0    1 |     0/0       0/0       0/0      34/1  
XAGUSD H2 AGA09|29.074     1       34   inf  34.08       0 852.00    0    1 |     0/0       0/0       0/0      34/1  
XAGUSD H2 AGA04|31.347     2       34   inf  16.93       0 423.12    1    1 |     0/0       0/0       0/0      34/2  
XAGUSD H2 AGA06|30.878     2       33   inf  16.72       0 836.00    1    1 |     0/0       0/0       0/0      33/2  
XAGUSD H2 AGA09|31.534     1       33   inf  33.17       0 829.25    0    1 |     0/0       0/0       0/0      33/1  
XAGUSD H2 AGA06|26.052     1       33   inf  32.87       0 821.75    0    1 |    33/1       0/0       0/0       0/0  
XAGUSD H2 AGA04|24.572     3       32   inf  10.74       0 268.42    2    1 |     0/0      32/3       0/0       0/0  
XAGUSD H2 AGA06|27.518     4       32   inf   8.02       0 200.50    4    0 |     0/0       0/0       0/0      32/4  
XAGUSD H2 AGA04|29.640     4       32   inf   7.93       0 198.19    4    0 |     0/0       0/0       0/0      32/4  
XAGUSD H2 AGA09|24.457     1       31   inf  31.22       0 780.50    0    1 |     0/0      31/1       0/0       0/0  
XAGUSD H2 AGA06|24.457     1       31   inf  31.22       0 780.50    0    1 |     0/0      31/1       0/0       0/0  
XAGUSD H2 AGA04|33.085     2       31   inf  15.48       0 386.88    2    0 |     0/0       0/0       0/0      31/2  
XAGUSD H2 AGA09|29.640     4       31   inf   7.72       0 192.88    4    0 |     0/0       0/0       0/0      31/4  
XAGUSD H2 AGA06|32.303     2       31 25.44  15.32       1  21.58    0    1 |     0/0       0/0       0/0      31/2  
XAGUSD H2 AGA06|31.534     1       30   inf  30.37       0 759.25    0    1 |     0/0       0/0       0/0      30/1  
XAGUSD H2 AGA06|25.083     4       30   inf   7.55       0 188.63    4    0 |     0/0      30/4       0/0       0/0  
XAGUSD H2 AGA09|33.085     2       30   inf  14.98       0 374.50    2    0 |     0/0       0/0       0/0      30/2  
XAGUSD H2 AGA06|26.590     1       30   inf  29.62       0 740.50    0    1 |    30/1       0/0       0/0       0/0  
XAGUSD H2 AGA04|24.830     5       29 13.18   5.74       3  10.44    4    0 |    27/4       2/1       0/0       0/0  
XAGUSD H2 AGA04|24.404     4       27  3.06   6.84      14   1.99    2    1 |    27/4       0/0       0/0       0/0  
XAGUSD H2 AGA09|23.135     3       26 58.78   8.78       1  37.63    3    0 |     0/0       0/0      26/3       0/0  
XAGUSD H2 AGA06|25.759     2       25   inf  12.60       0 315.00    1    1 |    25/2       0/0       0/0       0/0  
XAGUSD H2 AGA09|24.830     5       25 10.82   4.91       3   8.47    4    0 |    24/4       1/1       0/0       0/0  
XAGUSD H2 AGA04|23.152     1       25   inf  24.52       0 613.00    0    1 |     0/0       0/0      25/1       0/0  
XAGUSD H2 AGA04|23.520     4       24   inf   6.12       0 306.00    4    0 |     0/0       1/2      23/2       0/0  
XAGUSD H2 AGA09|23.520     4       24   inf   6.07       0 303.50    4    0 |     0/0       1/2      23/2       0/0  
XAGUSD H2 AGA04|22.100     2       24   inf  12.07       0 301.75    2    0 |     0/0      24/2       0/0       0/0  
XAGUSD H2 AGA04|25.491     2       24   inf  12.05       0 301.13    2    0 |     0/0       0/0      24/2       0/0  
XAGUSD H2 AGA09|23.340     1       24   inf  24.07       0 601.75    0    1 |    24/1       0/0       0/0       0/0  
XAGUSD H2 AGA09|20.012     1       24   inf  24.02       0 600.50    0    1 |     0/0      24/1       0/0       0/0  
XAGUSD H2 AGA09|25.491     2       24   inf  11.92       0 298.00    2    0 |     0/0       0/0      24/2       0/0  
XAGUSD H2 AGA09|30.884     2       24   inf  11.90       0 297.62    2    0 |     0/0       0/0       0/0      24/2  
XAGUSD H2 AGA04|24.142     1       24   inf  23.58       0 589.50    0    1 |     0/0       0/0      24/1       0/0  
XAGUSD H2 AGA09|18.741     1       23   inf  23.47       0 586.75    0    1 |     0/0      23/1       0/0       0/0  
XAGUSD H2 AGA04|22.034     3       23   inf   7.82       0 293.25    3    0 |    23/3       0/0       0/0       0/0  
XAGUSD H2 AGA06|23.340     1       23   inf  22.77       0 569.25    0    1 |    23/1       0/0       0/0       0/0  
XAGUSD H2 AGA09|22.034     3       23   inf   7.57       0 283.88    3    0 |    23/3       0/0       0/0       0/0  
XAGUSD H2 AGA09|23.152     1       23   inf  22.67       0 566.75    0    1 |     0/0       0/0      23/1       0/0  
XAGUSD H2 AGA06|27.031     1       22   inf  22.47       0 561.75    0    1 |    22/1       0/0       0/0       0/0  
XAGUSD H2 AGA06|21.177     1       22   inf  22.32       0 558.00    0    1 |     0/0      22/1       0/0       0/0  
XAGUSD H2 AGA09|19.915     1       22   inf  22.07       0 551.75    0    1 |     0/0      22/1       0/0       0/0  
XAGUSD H2 AGA04|22.369     1       22   inf  22.07       0 551.75    0    1 |     0/0       0/0       0/0      22/1  
XAGUSD H2 AGA06|23.217     1       22   inf  21.98       0 549.50    0    1 |     0/0       0/0      22/1       0/0  
XAGUSD H2 AGA04|31.309     2       22   inf  10.97       0 274.25    2    0 |     0/0       0/0       0/0      22/2  
XAGUSD H2 AGA04|23.498     1       22   inf  21.72       0 543.00    0    1 |     0/0       0/0       0/0      22/1  
XAGUSD H2 AGA09|24.142     1       22   inf  21.63       0 540.75    0    1 |     0/0       0/0      22/1       0/0  
XAGUSD H2 AGA04|23.916     1       21   inf  21.42       0 535.50    0    1 |     0/0       0/0      21/1       0/0  
XAGUSD H2 AGA06|23.520     3       21   inf   7.09       0 265.75    2    1 |     0/0       1/2      20/1       0/0  
XAGUSD H2 AGA09|30.251     1       21   inf  20.90       0 522.50    1    0 |     0/0       0/0       0/0      21/1  
XAGUSD H2 AGA06|30.251     1       21   inf  20.90       0 522.50    1    0 |     0/0       0/0       0/0      21/1  
XAGUSD H2 AGA09|24.039     2       21   inf  10.39       0 519.75    1    1 |     0/0       0/0      21/2       0/0  
XAGUSD H2 AGA06|23.152     1       21   inf  20.57       0 514.25    0    1 |     0/0       0/0      21/1       0/0  
XAGUSD H2 AGA09|23.217     1       20   inf  20.33       0 508.25    0    1 |     0/0       0/0      20/1       0/0  
XAGUSD H2 AGA09|22.369     1       20   inf  20.22       0 505.50    0    1 |     0/0       0/0       0/0      20/1  
XAGUSD H2 AGA06|19.915     1       20   inf  20.17       0 504.25    0    1 |     0/0      20/1       0/0       0/0  
XAGUSD H2 AGA09|23.498     1       20   inf  20.07       0 501.75    0    1 |     0/0       0/0       0/0      20/1  
XAGUSD H2 AGA04|22.295     1       20   inf  19.88       0 497.00    0    1 |     0/0       0/0      20/1       0/0  
XAGUSD H2 AGA09|19.095     1       20   inf  19.85       0 496.25    0    1 |     0/0      20/1       0/0       0/0  
XAGUSD H2 AGA09|23.916     1       20   inf  19.77       0 494.25    0    1 |     0/0       0/0      20/1       0/0  
XAGUSD H2 AGA06|24.142     1       20   inf  19.73       0 493.25    0    1 |     0/0       0/0      20/1       0/0  
XAGUSD H2 AGA06|23.317     1       20   inf  19.72       0 493.00    0    1 |     0/0       0/0      20/1       0/0  
XAGUSD H2 AGA09|22.100     6       20  7.62   3.25       4   5.58    2    0 |     0/0      20/6       0/0       0/0  
XAGUSD H2 AGA09|23.696     2       19   inf   9.62       0 240.50    2    0 |     0/0       0/0      19/2       0/0  
XAGUSD H2 AGA09|27.730     3       19   inf   6.35       0 158.83    3    0 |     0/0       0/0       0/0      19/3  
XAGUSD H2 AGA04|23.696     2       19   inf   9.52       0 238.00    2    0 |     0/0       0/0      19/2       0/0  
XAGUSD H2 AGA09|31.309     2       19   inf   9.52       0 238.00    2    0 |     0/0       0/0       0/0      19/2  
XAGUSD H2 AGA06|23.595     1       19   inf  18.92       0 473.00    0    1 |     0/0       0/0      19/1       0/0  
XAGUSD H2 AGA09|23.753     2       19  7.66   9.45       3   6.26    0    1 |    19/2       0/0       0/0       0/0  
XAGUSD H2 AGA06|22.369     1       19   inf  18.67       0 466.75    0    1 |     0/0       0/0       0/0      19/1  
XAGUSD H2 AGA06|31.309     2       18   inf   9.25       0 231.13    2    0 |     0/0       0/0       0/0      18/2  
XAGUSD H2 AGA06|22.922     1       18   inf  18.42       0 460.50    0    1 |     0/0       0/0      18/1       0/0  
XAGUSD H2 AGA06|23.498     1       18   inf  18.37       0 459.25    0    1 |     0/0       0/0       0/0      18/1  
XAGUSD H2 AGA06|32.277     2       18   inf   9.17       0 229.25    2    0 |     0/0       0/0       0/0      18/2  
XAGUSD H2 AGA06|24.039     1       18   inf  18.32       0 458.00    0    1 |     0/0       0/0      18/1       0/0  
XAGUSD H2 AGA06|23.916     1       18   inf  18.22       0 455.50    0    1 |     0/0       0/0      18/1       0/0  
XAGUSD H2 AGA09|18.945     1       18   inf  18.10       0 452.50    0    1 |     0/0      18/1       0/0       0/0  
XAGUSD H2 AGA04|21.177     2       18   inf   8.97       0 224.25    2    0 |     0/0      18/2       0/0       0/0  
XAGUSD H2 AGA06|24.785     3       18   inf   5.97       0 149.25    3    0 |     0/0       0/0      18/3       0/0  
XAGUSD H2 AGA09|22.295     1       18   inf  17.88       0 447.00    0    1 |     0/0       0/0      18/1       0/0  
XAGUSD H2 AGA09|21.177     2       18   inf   8.92       0 223.00    2    0 |     0/0      18/2       0/0       0/0  
XAGUSD H2 AGA06|24.578     2       17   inf   8.65       0 216.13    2    0 |     0/0       0/0      17/2       0/0  
XAGUSD H2 AGA06|24.940     2       17   inf   8.57       0 214.25    2    0 |    17/2       0/0       0/0       0/0  
XAGUSD H2 AGA09|24.785     3       17   inf   5.64       0 140.92    3    0 |     0/0       0/0      17/3       0/0  
XAGUSD H2 AGA06|22.295     1       17   inf  16.63       0 415.75    0    1 |     0/0       0/0      17/1       0/0  
XAGUSD H2 AGA06|18.945     1       16   inf  16.20       0 405.00    0    1 |     0/0      16/1       0/0       0/0  
XAGUSD H2 AGA04|24.578     2       15   inf   7.62       0 190.50    2    0 |     0/0       0/0      15/2       0/0  
XAGUSD H2 AGA04|23.011     2       15   inf   7.60       0 189.88    2    0 |     0/0       0/0      15/2       0/0  
XAGUSD H2 AGA09|22.639     6       15  5.69   2.53       4   3.97    3    1 |     0/0      15/6       0/0       0/0  
XAGUSD H2 AGA06|33.085     1       15   inf  15.03       0 375.75    1    0 |     0/0       0/0       0/0      15/1  
XAGUSD H2 AGA09|24.341     4       15   inf   3.73       0  93.31    4    0 |     0/0       0/0      15/4       0/0  
XAGUSD H2 AGA04|30.190     4       15 10.62   3.72       2   8.00    3    0 |     0/0       0/0       0/0      15/4  
XAGUSD H2 AGA09|24.381     2       14  3.97   7.07       5   2.85    0    2 |     0/0       0/0      14/2       0/0  
XAGUSD H2 AGA09|24.511     2       14   inf   6.95       0 173.62    2    0 |     0/0       0/0      14/2       0/0  
XAGUSD H2 AGA09|23.011     2       14   inf   6.92       0 173.00    2    0 |     0/0       0/0      14/2       0/0  
XAGUSD H2 AGA06|23.011     2       14   inf   6.87       0 171.75    2    0 |     0/0       0/0      14/2       0/0  
XAGUSD H2 AGA09|32.303     3       14  6.05   4.57       3   4.57    1    0 |     0/0       0/0       0/0      14/3  
XAGUSD H2 AGA04|24.940     2       13   inf   6.72       0 168.00    2    0 |    13/2       0/0       0/0       0/0  
XAGUSD H2 AGA09|25.540     1       13   inf  13.42       0 335.50    1    0 |     0/0      13/1       0/0       0/0  
XAGUSD H2 AGA04|24.381     2       13  2.70   6.45       8   1.65    0    2 |     0/0       0/0      13/2       0/0  
XAGUSD H2 AGA06|31.629     1       13   inf  12.63       0 315.75    1    0 |     0/0       0/0       0/0      13/1  
XAGUSD H2 AGA09|25.378     1       13   inf  12.57       0 314.25    1    0 |     0/0      13/1       0/0       0/0  
XAGUSD H2 AGA06|25.378     1       13   inf  12.57       0 314.25    1    0 |     0/0      13/1       0/0       0/0  
XAGUSD H2 AGA06|24.381     2       12  3.50   6.20       5   2.40    0    2 |     0/0       0/0      12/2       0/0  
XAGUSD H2 AGA04|24.039     1       12   inf  11.84       0 296.00    1    0 |     0/0       0/0      12/1       0/0  
XAGUSD H2 AGA04|27.031     1       12   inf  11.77       0 294.25    1    0 |    12/1       0/0       0/0       0/0  
XAGUSD H2 AGA06|27.586     1       12   inf  11.67       0 291.75    1    0 |     0/0       0/0       0/0      12/1  
XAGUSD H2 AGA09|27.031     1       12   inf  11.62       0 290.50    1    0 |    12/1       0/0       0/0       0/0  
XAGUSD H2 AGA04|24.753     2       12   inf   5.79       0 144.88    2    0 |    12/2       0/0       0/0       0/0  
XAGUSD H2 AGA09|31.629     1       11   inf  11.48       0 287.00    1    0 |     0/0       0/0       0/0      11/1  
XAGUSD H2 AGA06|24.511     2       11   inf   5.64       0 141.12    2    0 |     0/0       0/0      11/2       0/0  
XAGUSD H2 AGA06|21.425     6       11  3.09   1.84       6   1.84    5    1 |     0/0       0/0      11/6       0/0  
XAGUSD H2 AGA09|27.586     1       11   inf  10.82       0 270.50    1    0 |     0/0       0/0       0/0      11/1  
XAGUSD H2 AGA09|27.527     1       11   inf  10.82       0 270.50    1    0 |     0/0       0/0       0/0      11/1  
XAGUSD H2 AGA04|20.510     2       11   inf   5.40       0 135.12    2    0 |     0/0      11/2       0/0       0/0  
XAGUSD H2 AGA04|25.083     5       11  3.01   2.16       6   1.81    2    0 |     0/0      11/5       0/0       0/0  
XAGUSD H2 AGA09|26.834     2       11   inf   5.37       0 134.25    2    0 |    11/2       0/0       0/0       0/0  
XAGUSD H2 AGA04|22.968     1       11   inf  10.57       0 264.25    1    0 |     0/0       0/0      11/1       0/0  
XAGUSD H2 AGA09|24.753     2       11   inf   5.27       0 131.75    2    0 |    11/2       0/0       0/0       0/0  
XAGUSD H2 AGA09|24.578     2       11   inf   5.27       0 131.75    2    0 |     0/0       0/0      11/2       0/0  
XAGUSD H2 AGA04|23.595     1       11   inf  10.52       0 263.00    1    0 |     0/0       0/0      11/1       0/0  
XAGUSD H2 AGA04|23.249     1       11   inf  10.52       0 263.00    1    0 |     0/0       0/0      11/1       0/0  
XAGUSD H2 AGA09|23.317     1       10   inf  10.47       0 261.75    1    0 |     0/0       0/0      10/1       0/0  
XAGUSD H2 AGA09|23.556     1       10   inf  10.47       0 261.75    1    0 |     0/0       0/0      10/1       0/0  
XAGUSD H2 AGA06|24.753     2       10   inf   5.22       0 130.50    2    0 |    10/2       0/0       0/0       0/0  
XAGUSD H2 AGA04|24.511     2       10   inf   5.00       0 249.75    2    0 |     0/0       0/0      10/2       0/0  
XAGUSD H2 AGA04|32.277     1       10   inf   9.57       0 239.25    1    0 |     0/0       0/0       0/0      10/1  
XAGUSD H2 AGA09|20.510     2       10   inf   4.75       0 118.88    2    0 |     0/0      10/2       0/0       0/0  
XAGUSD H2 AGA06|20.510     2        9   inf   4.73       0 118.25    2    0 |     0/0       9/2       0/0       0/0  
XAGUSD H2 AGA06|25.137     4        9  4.45   2.36       3   3.00    3    0 |     0/0       0/0       9/4       0/0  
XAGUSD H2 AGA04|19.426     1        9   inf   9.12       0 228.00    1    0 |     0/0       9/1       0/0       0/0  
XAGUSD H2 AGA04|19.775     4        9   inf   2.17       0  54.25    4    0 |     0/0       9/4       0/0       0/0  
XAGUSD H2 AGA09|32.277     1        9   inf   8.62       0 215.50    1    0 |     0/0       0/0       0/0       9/1  
XAGUSD H2 AGA09|19.426     1        9   inf   8.57       0 214.25    1    0 |     0/0       9/1       0/0       0/0  
XAGUSD H2 AGA06|19.426     1        9   inf   8.57       0 214.25    1    0 |     0/0       9/1       0/0       0/0  
XAGUSD H2 AGA06|23.141     1        8   inf   8.17       0 204.25    1    0 |     8/1       0/0       0/0       0/0  
XAGUSD H2 AGA09|25.937     2        8   inf   4.07       0 203.50    2    0 |     8/2       0/0       0/0       0/0  
XAGUSD H2 AGA04|22.888     1        8   inf   8.13       0 203.25    1    0 |     0/0       8/1       0/0       0/0  
XAGUSD H2 AGA04|24.490     1        8   inf   8.12       0 203.00    1    0 |     8/1       0/0       0/0       0/0  
XAGUSD H2 AGA04|23.602     1        8   inf   7.82       0 195.50    1    0 |     0/0       0/0       8/1       0/0  
XAGUSD H2 AGA04|25.165     1        8   inf   7.77       0 194.25    1    0 |     0/0       0/0       8/1       0/0  
XAGUSD H2 AGA04|23.296     1        8   inf   7.72       0 193.00    1    0 |     0/0       0/0       8/1       0/0  
XAGUSD H2 AGA06|29.640     1        8   inf   7.69       0 192.25    1    0 |     0/0       0/0       0/0       8/1  
XAGUSD H2 AGA04|19.934     1        8   inf   7.67       0 191.75    1    0 |     0/0       8/1       0/0       0/0  
XAGUSD H2 AGA09|24.490     1        8   inf   7.62       0 190.50    1    0 |     8/1       0/0       0/0       0/0  
XAGUSD H2 AGA06|24.490     1        8   inf   7.62       0 190.50    1    0 |     8/1       0/0       0/0       0/0  
XAGUSD H2 AGA06|30.184     7        7   inf   1.06       0  26.57    7    0 |     0/0       0/0       0/0       7/7  
XAGUSD H2 AGA09|22.888     1        7   inf   7.38       0 184.50    1    0 |     0/0       7/1       0/0       0/0  
